"Protein ID","Protein Description (TAIR10)","Gene name","Subcellular localisation marker (known localisation)","PepNumber_Gradient A","PepNumber_Gradient B","misssing_values_Gradient A","misssing_values_Gradient B",A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10
AT5G66680,"Encodes a protein ortholog of human SOT48 or yeast WBP1, an essential protein subunit of the oligosaccharyltransferase (OST) complex, which is responsible for the transfer in the ER of the N-linked glycan precursor onto Asn residues of candidate proteins.",DGL1," ",17,17,0,0,0.104790153,0.134969122,0.138782882,0.126115367,0.116114016,0.105859152,0.077770349,0.06851163,0.064802395,0.062284934,0.10241693,0.132143033,0.131915004,0.133235008,0.115347265,0.10374249,0.062582133,0.080515457,0.068468619,0.069634061
AT3G28715,"ATPase, V0/A0 complex, subunit C/D; FUNCTIONS IN: hydrogen ion transmembrane transporter activity, proton-transporting ATPase activity, rotational mechanism; INVOLVED IN: proton transport, ATP synthesis coupled proton transport; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: ATPase, V0/A0 complex, subunit C/D (InterPro:IPR002843), ATPase, V0 complex, subunit D (InterPro:IPR016727); BEST Arabidopsis thaliana protein match is: ATPase, V0/A0 complex, subunit C/D (TAIR:AT3G28710.1); Has 636 Blast hits to 635 proteins in 308 species: Archae - 22; Bacteria - 2; Metazoa - 293; Fungi - 152; Plants - 74; Viruses - 0; Other Eukaryotes - 93 (source: NCBI BLink)."," "," ",2,2,0,0,0.319346662,0.186192656,0.135163539,0.096938438,0.083619268,0.065525402,0.02773669,0.029306703,0.021658148,0.034512493,0.347703324,0.195852966,0.116105084,0.100713149,0.083159093,0.064232639,0.002704237,0.033931396,0.023061408,0.032536703
AT5G60640,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.",PDIL1-4,ER,21,20,0,0,0.15305672,0.173845111,0.142882859,0.118462287,0.102562995,0.09475604,0.060728483,0.05682416,0.048964806,0.047916539,0.143617792,0.150438815,0.162520664,0.139679516,0.115486174,0.09468624,0.050750705,0.051414164,0.050635826,0.040770106
AT3G09440,"Heat shock protein 70 (Hsp 70) family protein; FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to karrikin, response to heat; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: heat shock cognate protein 70-1 (TAIR:AT5G02500.1); Has 34172 Blast hits to 33801 proteins in 4833 species: Archae - 161; Bacteria - 16465; Metazoa - 3857; Fungi - 1750; Plants - 1254; Viruses - 309; Other Eukaryotes - 10376 (source: NCBI BLink)."," "," ",8,6,0,0,0.077763314,0.066355081,0.063023361,0.071825764,0.084078953,0.124228111,0.109707711,0.140048769,0.127232369,0.135736567,0.095933346,0.0740684,0.074533485,0.098911641,0.113176618,0.136401311,0.091636648,0.106999158,0.106973482,0.101365911
AT1G77510,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",PDIL1-2," ",16,18,0,0,0.178870774,0.172776234,0.142502224,0.107894043,0.100979688,0.08061483,0.05779892,0.056746012,0.052013976,0.049803298,0.163629679,0.155427154,0.142599883,0.115412492,0.091328192,0.07958489,0.087504994,0.058908138,0.054463116,0.051141461
AT5G02500,"encodes a member of heat shock protein 70 family.",HSC70-1," ",6,7,0,0,0.073762735,0.07638089,0.063570568,0.079122729,0.101944858,0.132118347,0.107398857,0.13037286,0.11646302,0.118865137,0.06099005,0.050210944,0.05782046,0.059127043,0.079447039,0.09514453,0.225867748,0.152963516,0.122217072,0.096211599
AT3G18820,"RAB GTPase homolog G3F (RAB7B); FUNCTIONS IN: GTP binding; INVOLVED IN: protein transport, small GTPase mediated signal transduction; LOCATED IN: plasma membrane, nucleus; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ras GTPase (InterPro:IPR001806), Small GTP-binding protein (InterPro:IPR005225), Small GTPase (InterPro:IPR020851), Ras (InterPro:IPR013753), Ras small GTPase, Rab type (InterPro:IPR003579); BEST Arabidopsis thaliana protein match is: RAB GTPase homolog  G3E (TAIR:AT1G49300.2); Has 26432 Blast hits to 26399 proteins in 759 species: Archae - 38; Bacteria - 171; Metazoa - 13566; Fungi - 4011; Plants - 2887; Viruses - 20; Other Eukaryotes - 5739 (source: NCBI BLink).",RAB7B," ",4,3,0,1,0.217546757,0.204423005,0.164643169,0.131318596,0.107761459,0.080100083,0.025932471,0.021539563,0.021411574,0.025323323,0.225009722,0.160287995,0.12550803,0.127970292,0.106736832,0.087209714,0,0.048963705,0.038962958,0.079350752
AT4G36750,"Quinone reductase family protein; FUNCTIONS IN: oxidoreductase activity, FMN binding; INVOLVED IN: negative regulation of transcription; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Flavoprotein WrbA (InterPro:IPR010089), Flavodoxin/nitric oxide synthase (InterPro:IPR008254); BEST Arabidopsis thaliana protein match is: flavodoxin-like quinone reductase 1 (TAIR:AT5G54500.1); Has 3509 Blast hits to 3505 proteins in 1117 species: Archae - 64; Bacteria - 2674; Metazoa - 2; Fungi - 274; Plants - 203; Viruses - 1; Other Eukaryotes - 291 (source: NCBI BLink)."," "," ",6,7,0,0,0.16959047,0.187455906,0.149297316,0.123079976,0.104941949,0.081633365,0.051659128,0.051875288,0.041134014,0.039332588,0.195804723,0.153296515,0.131029199,0.122158136,0.102029199,0.079165933,0.073146399,0.04676393,0.046416332,0.050189633
AT2G30930,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, plasma membrane, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G06540.1); Has 194 Blast hits to 176 proteins in 78 species: Archae - 0; Bacteria - 101; Metazoa - 15; Fungi - 25; Plants - 12; Viruses - 4; Other Eukaryotes - 37 (source: NCBI BLink)."," "," ",6,5,0,0,0.297007627,0.219925868,0.131928318,0.112257397,0.072478367,0.051727647,0.031435529,0.036518448,0.01946294,0.027257859,0.355339478,0.180577,0.116288405,0.072953936,0.064624454,0.038187564,0.061387629,0.039065089,0.037139913,0.034436533
AT1G52280,"RAB GTPase homolog G3D (RABG3d); FUNCTIONS IN: GTP binding; INVOLVED IN: protein transport, small GTPase mediated signal transduction; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ras GTPase (InterPro:IPR001806), Small GTP-binding protein (InterPro:IPR005225), Small GTPase (InterPro:IPR020851), Ras (InterPro:IPR013753), Ras small GTPase, Rab type (InterPro:IPR003579); BEST Arabidopsis thaliana protein match is: RAB GTPase homolog G3C (TAIR:AT3G16100.1); Has 26220 Blast hits to 26194 proteins in 779 species: Archae - 32; Bacteria - 221; Metazoa - 13502; Fungi - 3923; Plants - 2848; Viruses - 20; Other Eukaryotes - 5674 (source: NCBI BLink).",RABG3d," ",4,4,0,0,0.220113207,0.153265848,0.122592397,0.088975378,0.089927511,0.075205023,0.035388716,0.044691395,0.066625645,0.10321488,0.27297869,0.172827769,0.129962608,0.098814294,0.103518575,0.086208574,0.029204935,0.03469173,0.037446676,0.034346149
AT1G77120,"Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide.",ADH1," ",13,13,0,0,0.069231405,0.064744596,0.050734829,0.054284351,0.073632213,0.100173304,0.110615288,0.136603217,0.154507372,0.185473424,0.059070451,0.041030535,0.035545924,0.03668696,0.04935802,0.076593415,0.198080299,0.177826526,0.154408092,0.171399778
AT5G20290,"Ribosomal protein S8e family protein; FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation, ribosome biogenesis; LOCATED IN: in 8 components; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S8e (InterPro:IPR001047), Ribosomal protein S8e, conserved site (InterPro:IPR018283), Ribosomal protein S8e/ribosomal biogenesis NSA2= (InterPro:IPR022309); BEST Arabidopsis thaliana protein match is: Ribosomal protein S8e family protein (TAIR:AT5G59240.1); Has 1084 Blast hits to 1080 proteins in 433 species: Archae - 252; Bacteria - 1; Metazoa - 368; Fungi - 161; Plants - 120; Viruses - 0; Other Eukaryotes - 182 (source: NCBI BLink)."," ",Ribosome,4,4,0,0,0.151152344,0.170790003,0.130503697,0.112613788,0.110195529,0.077908948,0.070034106,0.067204237,0.054804352,0.054792996,0.153353417,0.143191464,0.112488189,0.112754891,0.08762016,0.081920639,0.095507349,0.083554702,0.073386279,0.056222909
AT3G25220,"immunophilin (FKBP15-1)",FKBP15-1," ",3,4,0,0,0.182144187,0.158810995,0.163160961,0.132870859,0.09115547,0.076317016,0.05517266,0.04825519,0.045911596,0.046201065,0.153532006,0.199253232,0.161486973,0.124617082,0.085834729,0.084208783,0.0544679,0.045808593,0.046513824,0.044276878
AT4G39080,"Vacuolar proton ATPase subunit VHA-a isoform 3. Localized in the tonoplast.",VHA-A3,Vacuole,14,15,0,0,0.292063541,0.206194505,0.124410367,0.081166534,0.074899248,0.052232964,0.053926386,0.038661376,0.045988996,0.030456082,0.343426305,0.205750857,0.109361188,0.073403483,0.058981368,0.055962766,0.048231665,0.036438972,0.037292376,0.031151018
AT4G20260,"Encodes a Ca2+ and Cu2+ binding protein. N-terminal myristylation on glycine 2 appears to enable it to associate tightly with the plasma membrane. Recombinant PCaP1 interacts strongly with phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2) and  PtdIns (3,4,5)P3, and weakly with PtdIns(3,5)P2 and PtdIns(4,5). It also interacts with calmodulin (CaM) in a calcium-dependent manner. CaM does not interfere with PCaP1 membrane localization but does weaken interactions between it and the PtdInsPs. PCaP1 has an apparent Kd of 10 uM for Cu2+ and can bind six ions per protein. Transcript levels for PCaP1 first fall and then rise following exposure to CuCl2. Mannitol, sorbitol, and the flg22 oligopeptide also increase expression levels.",PCAP1,PM,6,6,0,0,0.111267675,0.146568779,0.135129441,0.117100522,0.105857739,0.094156447,0.083197846,0.079396821,0.065410553,0.061914177,0.111102224,0.123223458,0.144225042,0.125927575,0.100610794,0.087141671,0.100135904,0.066525488,0.075494105,0.06561374
AT1G07920,"GTP binding Elongation factor Tu family protein; FUNCTIONS IN: calmodulin binding, translation elongation factor activity; INVOLVED IN: response to cadmium ion; LOCATED IN: mitochondrion, nucleolus, plasma membrane, chloroplast, membrane; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: seedling growth; CONTAINS InterPro DOMAIN/s: Translation elongation factor EFTu/EF1A, C-terminal (InterPro:IPR004160), Translation elongation factor EFTu/EF1A, domain 2 (InterPro:IPR004161), Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal (InterPro:IPR009001), Protein synthesis factor, GTP-binding (InterPro:IPR000795), Translation elongation factor EF1A, eukaryotic/archaeal (InterPro:IPR004539), Translation elongation/initiation factor/Ribosomal, beta-barrel (InterPro:IPR009000); BEST Arabidopsis thaliana protein match is: GTP binding Elongation factor Tu family protein (TAIR:AT5G60390.3); Has 84282 Blast hits to 84186 proteins in 18729 species: Archae - 1011; Bacteria - 33710; Metazoa - 21823; Fungi - 13003; Plants - 1919; Viruses - 6; Other Eukaryotes - 12810 (source: NCBI BLink)."," "," ",11,12,0,0,0.096272065,0.112835427,0.12220501,0.094867828,0.099575609,0.099174498,0.094257416,0.089743467,0.093115803,0.097952877,0.098791091,0.095846136,0.099504943,0.099087452,0.097375461,0.104225283,0.102245689,0.108123018,0.092328565,0.102472363
