Majority protein IDs,Lead protein ID,Protein names,Gene names,Class,nRatio H/L AP4B1_1_03K,nRatio H/L AP4B1_1_06K,nRatio H/L AP4B1_1_12K,nRatio H/L AP4B1_1_24K,nRatio H/L AP4B1_1_80K,nRatio H/L AP4B1_2_03K,nRatio H/L AP4B1_2_06K,nRatio H/L AP4B1_2_12K,nRatio H/L AP4B1_2_24K,nRatio H/L AP4B1_2_80K,nRatio H/L AP4E1_1_03K,nRatio H/L AP4E1_1_06K,nRatio H/L AP4E1_1_12K,nRatio H/L AP4E1_1_24K,nRatio H/L AP4E1_1_80K,nRatio H/L AP4E1_2_03K,nRatio H/L AP4E1_2_06K,nRatio H/L AP4E1_2_12K,nRatio H/L AP4E1_2_24K,nRatio H/L AP4E1_2_80K,nRatio H/L WT_1_03K,nRatio H/L WT_1_06K,nRatio H/L WT_1_12K,nRatio H/L WT_1_24K,nRatio H/L WT_1_80K,nRatio H/L WT_2_03K,nRatio H/L WT_2_06K,nRatio H/L WT_2_12K,nRatio H/L WT_2_24K,nRatio H/L WT_2_80K
P05023;P05023-4;P05023-3;P05023-2,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Plasma membrane,0.732645989,0.853720246,1.061394728,2.760753688,9.655438984,0.658713589,0.926849237,1.06354796,2.485407974,9.417319358,0.719377349,0.944305973,1.090902814,2.696940639,10.3559013,0.750328607,0.93597133,1.071638952,2.325874085,7.596843373,0.702457051,0.937818166,1.104573182,3.050558433,10.82282107,0.70339112,0.973788562,1.180010782,3.011858869,9.665004475
P05026;P05026-2,P05026,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,Plasma membrane,0.827080508,0.837993937,1.034994995,2.620800793,10.49217743,0.709334911,0.886992236,0.99882617,2.385098065,9.067098839,0.754043343,0.96390202,1.101315381,2.6824911,10.15991289,0.762342602,0.887203225,0.96313711,2.226718029,6.720327821,0.749194238,0.905348834,1.077570335,2.985449036,11.55386547,0.731613387,0.898675829,1.084718723,2.969126242,9.29060455
P54709;P54709-2,P54709,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,Plasma membrane,0.812056509,0.926775295,1.126046046,2.866617082,9.949444751,0.727600567,0.954671361,1.058047068,2.608057645,9.615710752,0.753306639,0.932602779,1.148406698,2.970168271,10.25003608,0.76597474,0.95293415,1.122819067,2.521245626,7.602697317,0.719379548,0.915048792,1.148316019,3.244618257,11.14751301,0.747216987,1.007744614,1.274961767,3.212521338,9.062895933
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,P20020,Plasma membrane calcium-transporting ATPase 1,ATP2B1,Plasma membrane,0.652819332,0.889805191,1.074888222,2.709061609,10.35180072,0.597106077,0.924434074,1.119178319,2.431091692,10.47851763,0.687167034,0.957814067,1.170764716,2.66160495,10.811371,0.740460875,0.967851277,1.0873562,2.294821654,8.250121019,0.664677426,0.975538603,1.141602277,3.081140119,12.08953405,0.649006778,0.979128194,1.232712429,3.064313734,10.56630749
Q16720;Q16720-4;Q16720-2;Q16720-8;Q16720-7;Q16720-6;Q16720-3;Q16720-5,Q16720,Plasma membrane calcium-transporting ATPase 3,ATP2B3,Plasma membrane,0.617275447,0.778924385,0.951111111,2.842072642,10.77464875,0.605468532,0.981947685,1.029426319,2.0012703,1.769165542,0.680864126,0.891548489,1.072535819,2.742653723,10.0007871,0.691579409,0.947080782,1.005943497,2.075807922,2.230465276,0.661388602,0.970287498,1.0981552,3.09819258,2.578400185,0.690573459,0.99904087,1.168458229,2.712052184,13.81246295
P23634;P23634-6;P23634-7;P23634-8,P23634,Plasma membrane calcium-transporting ATPase 4,ATP2B4,Plasma membrane,0.712011307,0.885349896,1.055215215,2.403619685,8.208601755,0.620641531,0.932662,1.100443063,2.401633869,9.149385609,0.678121952,0.908422862,1.146279993,2.821863465,9.067152921,0.722795476,0.937404808,1.025557038,2.249772106,8.308322732,0.668444625,0.942879648,1.063166845,2.936969313,9.046156471,0.6544616,0.994860783,1.295536314,3.380738664,10.26350967
P30530;P30530-2,P30530,Tyrosine-protein kinase receptor UFO,AXL,Plasma membrane,0.786198584,0.911639092,0.925632299,1.819387629,7.105466593,0.651791396,0.848677119,0.910857932,1.896032502,6.641646137,0.872256973,0.951554219,1.013153806,1.900508361,3.706594603,0.709143209,0.80870539,0.852918257,1.40947452,4.095847077,0.757099376,1.04529078,1.059055788,2.570130007,4.314478287,0.694506549,0.857834085,1.044768894,2.355155612,5.970638491
P80723;P80723-2,P80723,Brain acid soluble protein 1,BASP1,Plasma membrane,1.024559289,0.917820446,1.091651652,1.937151357,2.908890116,0.789699331,0.913913791,1.014949076,1.627845856,2.688168266,0.877059189,0.900759204,1.000117383,1.791217308,2.747641974,0.926728599,0.937912498,1.079695693,1.766577469,2.764975402,0.782214037,0.896188573,1.036755518,1.920445337,3.168549734,0.821746714,0.926848472,1.144692977,1.994415366,3.063430624
P50895,P50895,Basal cell adhesion molecule,BCAM,Plasma membrane,0.873343522,0.918159756,1.042082082,2.336804264,7.048653292,0.708095616,0.896434565,0.950814201,2.052191815,7.499234833,0.82815026,0.941641599,0.963645779,1.992854047,7.664405935,0.843024326,0.95054502,0.958408728,1.891022437,5.61629648,0.788923239,0.954811325,1.002994565,2.378184124,7.649639841,0.804715027,0.995934436,1.072539031,2.418011011,7.928072439
P35613;P35613-2;P35613-4,P35613,Basigin,BSG,Plasma membrane,0.745115765,0.883018979,1.098712045,2.648568241,7.696054973,0.652282649,0.962981156,1.087542436,2.359582553,3.836871497,0.741123746,0.923678556,1.096053858,2.588831821,8.590169096,0.769060788,0.903673287,1.012943616,2.157202929,6.5549539,0.732295659,0.971950348,1.11387482,2.866927386,9.430204639,0.71337602,0.980788777,1.169448448,2.770385611,7.989910614
Q9BY67;Q9BY67-5;Q9BY67-4;Q9BY67-3;Q9BY67-2,Q9BY67,Cell adhesion molecule 1,CADM1,Plasma membrane,0.708639159,0.913453666,1.233580247,3.784926243,14.44383091,0.608248574,0.896093441,1.192818919,2.675624473,8.95611205,0.678272021,1.026930239,1.296171241,2.719140384,10.53273688,0.674193405,1.020710766,1.164595248,2.682506543,6.484368844,0.62205426,1.039310355,1.33847462,3.820878695,11.10814533,0.650622154,1.043275356,1.351868763,2.90061838,10.79436482
Q6YHK3;Q6YHK3-4;Q6YHK3-2,Q6YHK3,CD109 antigen,CD109,Plasma membrane,0.880245665,0.910296602,1.001801802,2.096938143,7.1286582,0.716513895,0.909547396,0.951757869,1.848396246,6.178431835,0.79678579,0.898109153,0.973602624,2.115937841,6.86575975,0.808176121,0.883813648,0.912009827,1.679654189,4.866653908,0.789951744,0.92819114,0.960272099,2.298277138,7.642814484,0.774900795,0.969680052,1.055892352,2.235549476,6.617382106
P16070;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-8;P16070-7;P16070-9,P16070,CD44 antigen,CD44,Plasma membrane,0.619384834,0.79199522,1.051531532,2.361844552,8.867660593,0.521129434,0.846084572,0.984049715,2.104317925,7.81804589,0.616579922,0.884815929,1.008265148,2.341219278,9.316926629,0.626251722,0.846229655,0.913792876,1.895844973,5.794729199,0.627328338,0.92616363,1.112617842,2.724306803,9.608273307,0.618642381,0.98013027,1.17153891,2.658805974,8.161825389
P15529;P15529-15;P15529-12;P15529-14;P15529-11;P15529-13;P15529-10,P15529,Membrane cofactor protein,CD46,Plasma membrane,0.808626961,0.935317071,0.952218886,1.879385149,6.192649856,0.729934016,0.980937956,0.874008861,1.948049104,3.694575596,0.84478066,0.936241226,1.023013982,2.09964927,5.112621181,0.817269166,0.971449903,0.974429754,1.824095039,4.324938928,0.77859035,0.979433172,0.96362897,2.103512666,5.843845601,0.775977712,1.04477847,1.025470629,2.382965735,4.857435111
Q08722;Q08722-3;Q08722-4;Q08722-2,Q08722,Leukocyte surface antigen CD47,CD47,Plasma membrane,0.857444198,0.926022911,0.987774441,1.88694682,3.766243328,0.762401331,0.945638381,1.020714656,1.688623148,4.086240548,0.738708995,0.811975362,0.989401001,1.768492125,4.72943368,0.874392792,1.068373899,1.013802121,1.752227483,3.968523793,0.785311511,0.914902927,0.952094347,2.376352042,4.936682633,0.784253591,0.993930284,1.087975443,2.103620968,4.131650219
P08174-2;P08174-5;P08174;P08174-4;P08174-3,P08174,Complement decay-accelerating factor,CD55,Plasma membrane,0.912790489,1.004875746,1.062475809,2.168835999,7.111356525,0.808969821,1.030455606,1.029035042,1.870845516,6.239544814,0.837781977,1.009325312,1.009425168,2.074690977,6.302719437,0.869592273,0.998611319,0.955265278,1.742700032,4.712537572,0.839308031,1.018014207,1.05648268,2.324349082,7.612953551,0.792892343,1.05315296,1.047288451,2.206495812,6.293312876
P19256-3;P19256;P19256-2,P19256,Lymphocyte function-associated antigen 3,CD58,Plasma membrane,0.831571924,0.924650916,1.021034368,2.00954506,7.484753666,0.694608505,0.910065905,0.95899649,1.864055981,6.121332845,0.798900402,0.980203409,1.084122216,2.17005793,5.970824752,0.829626055,1.083111841,0.963771083,1.988884641,4.512602866,0.751825298,1.046165964,0.994713298,2.518549836,6.151961681,0.744150113,1.146889986,1.16185677,2.271838294,5.744208483
P13987,P13987,CD59 glycoprotein,CD59,Plasma membrane,0.802585792,0.923042879,0.981394728,1.835378703,4.19804896,0.686190226,0.992427033,0.897036653,1.53848681,4.053225491,0.837413625,1.039206417,0.957141378,1.919686839,4.206404387,0.832153312,1.053023742,0.983846896,1.625194813,3.693500996,0.768113949,0.992590108,0.983030796,2.015713631,5.322802784,0.748539723,1.026512061,1.027869159,2.074341205,4.353779452
P21926,P21926,CD9 antigen,CD9,Plasma membrane,0.828802457,0.908806586,1.082108775,2.197471179,5.190747899,0.716580884,0.947726063,0.962230278,1.77590153,4.761092407,0.815721799,0.991233348,0.948827896,1.888291933,5.942751446,0.814805408,1.0273406,0.871105358,1.63378128,4.79392991,0.823928292,1.011829572,0.948515657,2.185533594,6.289078211,0.811527701,1.030534679,1.070789645,2.21305267,6.045378991
P48960;P48960-3;P48960-2,P48960,CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,Plasma membrane,0.963516219,0.942958936,0.973613614,1.744266766,3.69777287,0.782888787,0.977376615,0.872190575,1.476285905,3.442196053,0.915053991,1.027317003,0.895853616,1.609809923,3.211507432,0.897265102,0.967851277,0.903028542,1.398653218,2.772405408,0.913145133,0.999708272,0.913645606,1.913257936,3.777712774,0.877207974,1.052279722,0.944272684,1.759272867,3.236275296
P14209;P14209-2;P14209-3,P14209,CD99 antigen,CD99,Plasma membrane,0.692036706,0.814758536,0.959265933,2.054295277,5.349898767,0.603994775,0.893255284,0.904516946,1.851024453,5.121347897,0.688626798,0.92334909,0.968493009,2.040406163,5.788741817,0.699275477,0.869911901,0.917530675,1.62507719,4.295106328,0.684816992,0.893285879,0.93752819,2.029665645,5.678208832,0.676397944,1.022274712,1.014853283,2.107577693,5.421534098
Q9H6B4,Q9H6B4,CXADR-like membrane protein,CLMP,Plasma membrane,0.767745037,0.858382078,0.979873207,1.94620057,1.808945334,0.710897987,0.905658575,0.974670579,1.887271811,6.224994104,0.638067108,0.901145968,0.99967547,2.080470792,4.734812211,0.78711988,0.891279677,1.025345713,1.960419914,4.156075156,0.701799286,0.964613387,1.011394137,2.061797555,5.803868514,0.756909246,0.969694367,1.060865451,2.398905683,6.504632051
Q9H8M5;Q9H8M5-2;Q9H8M5-3,Q9H8M5,Metal transporter CNNM2,CNNM2,Plasma membrane,0.860586754,0.929253738,1.079452786,2.913722573,7.347444629,0.780265053,0.941490305,1.07277749,2.640253184,8.513268742,0.768804699,0.917576278,1.255722424,2.856542357,11.87369636,0.759218455,1.019038375,1.205077067,3.165348311,5.548188092,0.852547045,0.855375819,1.339391475,4.426593383,9.908345217,0.785599738,0.981833799,1.306098648,3.217043309,2.678918064
Q8NE01;Q8NE01-2;Q8NE01-3,Q8NE01,Metal transporter CNNM3,CNNM3,Plasma membrane,0.908987853,0.847022549,1.031338005,2.522375108,7.402785447,0.739848382,0.873074352,1.00390126,2.221273147,6.391474288,0.789459683,0.788626271,1.051103055,3.11571453,9.645672907,0.810970073,0.890966104,1.072021978,2.720969212,7.319906787,0.78159215,0.866709453,0.988709379,3.058309551,9.09442149,0.771997799,0.89249159,1.126869038,2.919949806,7.107902965
Q6UVK1,Q6UVK1,Chondroitin sulfate proteoglycan 4,CSPG4,Plasma membrane,0.658788753,0.842286954,1.000947614,2.30110326,8.567396773,0.597072583,0.907036719,0.977501582,1.970717391,8.024565611,0.705680121,0.918836843,0.965882962,2.077055447,6.724081386,0.678879625,0.84183963,0.83713497,1.562972329,4.893334384,0.685080098,0.980745949,0.972605272,2.468942677,8.065742806,0.660618759,0.982062844,1.030080648,2.355833908,8.330253048
P78310;P78310-7;P78310-2;P78310-6;P78310-5,P78310,Coxsackievirus and adenovirus receptor,CXADR,Plasma membrane,0.813821506,0.865345322,0.965712379,2.185198959,5.565985643,0.715419742,1.006795202,0.946521664,1.812148888,5.832024606,0.802952271,0.914711359,0.919426895,1.941361147,5.492004355,0.84221154,0.962102434,0.976212804,1.644837828,4.348805007,0.792929625,0.914173607,1.017028356,2.165944403,6.396577571,0.736916036,0.949710114,1.080262738,2.143188216,5.318547965
P98082;P98082-3;P98082-2,P98082,Disabled homolog 2,DAB2,Plasma membrane,0.641985406,0.868605655,1.107253921,2.417627371,5.89582183,0.583261692,0.979014013,1.279360147,2.810320094,6.505672268,0.614697235,1.002707349,1.304443294,2.935752098,7.786275564,0.564492675,0.995266537,1.366608112,3.211926956,7.737675759,0.57480282,1.009889581,1.278819919,2.483740267,5.12450181,0.559528966,0.948307208,1.290145122,2.595272279,4.740616754
Q14118,Q14118,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,DAG1,Plasma membrane,0.729072946,0.847022549,1.02002002,2.417751333,9.112951715,0.694653165,0.918116446,0.953886875,2.073326982,7.696923779,0.747181086,0.904856038,0.985630934,2.151536249,6.808957221,0.841309856,0.892220397,0.91874579,1.816214309,4.665480868,0.719929679,0.906967925,1.0009834,2.424690836,7.621729009,0.730161889,0.884274569,1.009143021,2.48075336,7.362462368
Q08345;Q08345-5;Q08345-2;Q08345-6,Q08345,Epithelial discoidin domain-containing receptor 1,DDR1,Plasma membrane,0.897350352,0.865979686,1.001214548,2.320937151,5.729676667,0.783759644,0.958928596,0.970297485,1.940712025,3.944747445,0.908928437,0.941025641,1.053188331,2.091373626,3.853257946,0.875980265,1.015215768,1.008519013,1.753403711,3.124317509,0.821309191,0.951120965,0.922710636,2.094915971,6.501761186,0.862692997,1.034414144,1.103763932,1.852312423,5.262172938
Q16832,Q16832,Discoidin domain-containing receptor 2,DDR2,Plasma membrane,1.131018748,0.956708392,0.880720721,1.560803273,2.863611264,0.92539663,0.91911253,0.790804995,1.266138835,2.77617497,1.05019816,0.991706059,0.879806663,1.511027625,2.79290034,1.077563928,1.002359265,0.886730152,1.441232687,2.293958054,1.031542818,0.917601412,0.841376761,1.597294155,2.749155972,1.036299149,1.007257891,0.902243396,1.617396023,2.77318641
P11532;P11532-4;P11532-3;P11532-2,P11532,Dystrophin,DMD,Plasma membrane,0.666738415,0.823772396,1.054080747,1.963059378,8.004662863,0.570589614,0.952501808,1.088267449,2.298257718,2.362533429,0.615802291,0.961395216,0.977759365,2.12316261,4.023271983,0.641389864,0.899641631,0.973531626,2.030875996,6.289950354,0.654643521,0.965896991,1.013627121,2.71289152,9.244579326,0.64616231,0.944527951,1.203996083,2.80192636,7.472655206
Q02487;Q02487-2,Q02487,Desmocollin-2,DSC2,Plasma membrane,0.636475172,0.923352684,1.078198198,2.392215198,4.103687343,0.633927674,1.072263839,1.243684907,2.205941939,6.964571532,0.691109762,0.987222461,1.146031417,2.399148791,7.538994346,0.692849387,1.111273705,1.266017725,2.045814097,6.215537719,0.678813392,0.996922269,1.074213464,2.407920234,6.845954148,0.786220136,1.101682056,1.135891032,2.395966402,4.555102231
Q14126,Q14126,Desmoglein-2,DSG2,Plasma membrane,0.661945658,0.905000406,1.110483817,2.505888186,7.919872385,0.637645561,1.059614939,1.229414811,2.417841147,8.133846455,0.689240718,0.99504369,1.056751252,2.19803749,7.158692886,0.690792022,1.042899806,1.125949309,2.133090246,5.923178241,0.713674933,1.044590633,1.116388776,2.438079132,7.854400527,0.710051622,1.162994775,1.194644016,2.358547091,7.199381618
Q14156;Q14156-2;Q14156-3,Q14156,Protein EFR3 homolog A,EFR3A,Plasma membrane,0.63017571,0.820644838,1.019686353,2.656873683,8.045156145,0.649558431,1.006317628,1.033914495,2.748995258,4.461548497,0.760318965,1.084099699,1.02073537,2.137349429,7.202508232,0.684188135,1.034746902,1.015611586,2.152145147,5.033829042,0.714607763,0.971687793,1.094118082,2.256280168,8.285129255,0.66763043,1.043905232,1.179790734,2.672597985,3.605444549
P00533;P00533-4;P00533-3,P00533,Epidermal growth factor receptor,EGFR,Plasma membrane,0.868880805,0.904321784,0.985785786,2.059377712,6.500644211,0.725535074,0.931379372,0.946441107,1.819595475,5.64848497,0.823852823,0.964016617,0.996858277,2.149171779,7.26429574,0.805547265,0.94894729,0.92408173,1.771047137,4.932623355,0.825100309,0.990737634,0.979111982,2.338723884,7.528489768,0.767971064,0.963667597,1.025855714,2.29750048,6.192767723
P29317,P29317,Ephrin type-A receptor 2,EPHA2,Plasma membrane,0.905773549,0.802366323,0.883483483,1.892773026,4.549358856,0.73383054,0.803034645,0.805489384,1.740530241,4.447599886,0.905367704,0.8822948,0.853968583,1.957255639,4.958742736,0.843125925,0.838226071,0.839948226,1.578028053,3.71263889,0.873798832,0.878582785,0.904358756,2.215974351,5.281728765,0.754954407,0.783795004,0.815291179,1.849147043,4.724459788
P54760,P54760,Ephrin type-B receptor 4,EPHB4,Plasma membrane,0.773671409,0.850356645,0.983143143,2.192016859,8.284066507,0.667466813,0.882448456,0.94859313,1.955276674,6.170102808,0.766676444,0.925325885,0.935639565,2.210647996,8.46987367,0.770635561,0.910452441,0.937514033,1.741876672,5.552916277,0.706690665,0.86449232,0.926821694,2.320403058,8.848708667,0.73821536,0.938200558,1.030575757,2.184338153,7.730934198
Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4,Q9UBC2,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,Plasma membrane,0.634609728,0.895307924,1.058832165,2.376967894,6.089330634,0.562774236,0.948367378,1.200414293,2.584294272,6.142305936,0.584137682,0.993167168,1.234027274,2.573331407,8.172873841,0.569839284,1.014528894,1.381004583,2.769665069,6.744193901,0.605239397,1.051562933,1.280905024,2.352675898,6.038733896,0.568460359,1.048028058,1.428005589,2.868173237,6.299822157
Q9Y624;Q9Y624-2,Q9Y624,Junctional adhesion molecule A,F11R,Plasma membrane,0.725887342,0.878932499,0.982555889,1.583736209,4.176207129,0.675438499,0.967565871,1.003740146,1.6410964,4.195220343,0.756267096,1.048059017,0.938180563,1.992854047,3.993755657,0.790332925,0.923532925,1.091714765,1.835151586,4.049916131,0.661520155,0.80063305,1.063181633,2.056583166,5.068314503,0.768357349,1.022833011,1.179900758,2.485388381,5.211493531
Q9Y4F1;Q9Y4F1-2,Q9Y4F1,"FERM, RhoGEF and pleckstrin domain-containing protein 1",FARP1,Plasma membrane,0.721869462,0.923190405,1.14303637,2.827073261,8.483833364,0.650328804,1.035204061,1.293054836,2.975678132,11.80815141,0.707044386,0.953516688,1.081235974,2.433959042,8.948956434,0.802702514,1.066402867,1.076789983,2.230246714,7.449143861,0.687699198,1.022886066,1.18420644,3.056900257,14.87562007,0.704175397,1.08040942,1.276612131,3.135082582,6.934593344
P25445;P25445-6,P25445,Tumor necrosis factor receptor superfamily member 6,FAS,Plasma membrane,0.794851374,0.913674955,1.155742409,2.361844552,5.119332474,0.647537598,0.923110511,1.029714023,1.98922435,5.157774845,0.753483994,0.950938261,1.050150181,2.259645067,5.700848758,0.709384505,0.917963267,1.04048182,1.842797071,4.653885555,0.707264715,0.988360051,1.040600392,2.350280097,6.667519836,0.69656674,0.998368048,1.162626941,2.180946675,5.399913984
Q0JRZ9;Q0JRZ9-3,Q0JRZ9,F-BAR domain only protein 2,FCHO2,Plasma membrane,0.646505521,0.935951434,1.397397397,3.711416884,2.964844469,0.570835241,1.055630603,1.475113643,4.701096181,15.02536339,0.591354648,1.089442773,1.603038149,3.757142669,8.487583466,0.623927662,1.083977901,1.824785704,5.104243244,13.36838195,0.596808046,1.201409046,1.631113904,4.283972801,14.34909259,0.593299699,1.141349939,1.755988073,5.018935754,11.18224826
O95466;O95466-2;O95466-3,O95466,Formin-like protein 1,FMNL1,Plasma membrane,0.86804853,1.053072605,1.281908575,1.835502665,2.24737714,0.705148101,0.920695348,1.201565107,1.874130775,2.30493269,0.822925122,1.184500788,1.225589505,2.081258949,2.892468745,0.825003334,0.985202329,1.214111183,1.921957244,2.283038197,0.814815258,1.04695363,1.255173944,2.136772011,2.379124161,0.750283861,1,1.160206406,1.854234261,3.077030373
P15328,P15328,Folate receptor alpha,FOLR1,Plasma membrane,1.006234888,0.962978262,1.012372372,1.744142804,4.654150561,0.814384762,1.098912495,1.075953737,1.741844344,4.344038976,0.8899515,1.013937831,0.960414293,1.744321988,4.265699406,0.953474343,1.16476034,0.956770964,1.689181639,3.818009884,0.869732648,1.03588255,0.917386964,1.933269915,5.136324302,0.913788058,1.164397681,1.099318949,2.203104333,4.403064012
P06241;P06241-3,P06241,Tyrosine-protein kinase Fyn,FYN,Plasma membrane,0.744025198,0.920343146,1.041214548,2.225114665,5.868458188,0.706253419,0.976216792,1.015006617,2.047920979,5.009257262,0.772160792,1.027632144,1.027805973,2.207101291,6.400713639,0.835544154,1.019680454,1.066923778,1.998059223,4.878024069,0.76791064,0.992779731,1.071285445,2.435542402,7.37638183,0.743564832,1.027814759,1.065596497,2.274212329,6.133719241
