"Protein ID","Protein name","Protein Description (TAIR10)","Subcellular localisation marker (known localisation)","Localisation Method",PMID
AT1G79940,ERDJ2A,"J domain protein localized in ER membrane. Mutants have defective pollen germination.",ER,GFP,18718935
AT2G40890,CYP98A3,"encodes coumarate 3-hydroxylase (C3H), a P450-dependent monooxygenase. Involved in lignin biosynthesis and flavonoid biosynthesis.  Also affects the biosynthesis of coumarins such as scopoletin and scopolin as a branching-out-pathway from the phenylpropanoid acid level.",ER,GFP,"23175744, 21515817"
AT4G31500,CYP83B1,"Encodes an oxime-metabolizing enzyme in the biosynthetic pathway of glucosinolates.  Is required for phytochrome signal transduction in red light.   Mutation confers auxin overproduction.",ER,GFP,21515817
AT2G47470,"UNE5 / PDIL2-1","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",ER,GFP,"18931141, 19050167"
AT5G62390,BAG7,"A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development. Localized to the ER. Necessary for the proper maintenance of the unfolded protein response during heat and cold tolerance.",ER,GFP,20231441
AT3G09260,"PYK10 / BGLU23","Encodes beta-glucosidase.The major constituent of ER bodies. One of the most abundant proteins in Arabidopsis seedlings. Exist in an soluble (inactive) and non-soluble (active) form, most probably formed in a polymerization process. Involved in the mutualistic interaction between Arabidopsis and the endophytic fungus Piriformospora indica.",ER,GFP,12581307
AT1G67730,KCR1,"Encodes one of the two Arabidopsis homologues to YBR159w encoding a S. cerevisiae beta-ketoacyl reductase (KCR), which catalyzes the first reduction during VLCFA (very long chain fatty acids, >18 carbon) elongation: KCR1 (At1g67730), KCR2 (At1g24470). Complementation of the yeast ybr159Delta mutant demonstrated that the two KCR proteins are divergent and that only AtKCR1 can restore heterologous elongase activity similar to the native yeast KCR gene.",ER,GFP,19439572
AT4G37410,CYP81F4,"member of CYP81F",ER,GFP,21515817
AT5G61790,CNX1,"calnexin 1 (CNX1); FUNCTIONS IN: unfolded protein binding, calcium ion binding; INVOLVED IN: protein folding; LOCATED IN: in 8 components; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Calreticulin/calnexin, P (InterPro:IPR009033), Calreticulin/calnexin (InterPro:IPR001580), Calreticulin/calnexin, conserved site (InterPro:IPR018124), Concanavalin A-like lectin/glucanase (InterPro:IPR008985), Concanavalin A-like lectin/glucanase, subgroup (InterPro:IPR013320); BEST Arabidopsis thaliana protein match is: Calreticulin family protein (TAIR:AT5G07340.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ER,GFP,18931141
AT5G17770,CBR,"Encodes NADH:cytochrome (Cyt) b5 reductase that displayed strict specificity to NADH for the reduction of a recombinant Cyt b5 (AtB5-A), whereas no Cyt b5 reduction was observed when NADPH was used as the electron donor.",ER,GFP,21515817
AT4G37640,ACA2,"Encodes a calmodulin-regulated Ca(2+)-pump located in the endoplasmic reticulum.  Belongs to plant 2B ATPase's with an N-terminal autoinhibitor.",ER,GFP,21515817
AT1G56340,CRT1a,"Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels.",ER,GFP,18931141
AT2G26250,KCS10,"epidermis-specific, encodes KCS10, a putative 3-ketoacyl-CoA synthase. probably involved in the synthesis of long-chain lipids found in the cuticle.",ER,GFP,18465198
AT3G51460,RHD4,"Encodes RHD4 (ROOT HAIR DEFECTIVE4), a phosphatidylinositol-4-phosphate phosphatase required for root hair development.",ER,GFP,12713536
AT5G12200,PYD2,"Encodes a protein with dihydropyrimidine amidohydrolase activity. It localizes to the secretory system and plays a role in uracil metabolism.",ER,GFP,19413687
AT1G67490,GCS1,"Encodes an alpha-glucosidase I enzyme that catalyzes the first step in N-linked glycan processing. Localized to the endoplasmic reticulum (ER).",ER,GFP,17138701
AT1G76090,SMT3,"Encodes S-adenosyl-methionine-sterol-C-methyltransferase, an enzyme in the sterol biosynthetic pathway.",ER,GFP,21515817
AT4G01320,STE24,"CAAX protease with broad substrate specificity. Localized exclusively to the endoplasmic reticulum.",ER,GFP,12039957
AT1G54990,AXR4,"auxin response mutant (AXR4)",ER,GFP,16690816
AT1G08450,CRT3,"Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels. Non-receptor component required for EFR-mediated immunity. Mutants show de-repressed anthocyanin accumulation in the  presence of elf18, and EFR accumulation and signalling.",ER,GFP,18931141
AT1G09210,CRT1b,"Encodes one of three Arabidopsis calreticulins.",ER,GFP,18931141
AT4G21180,ERDJ2B,"J domain protein localized in ER membrane.",ER,GFP,18718935
AT3G62600,ERDJ3B,"J domain protein localized in ER lumen. Can partially compensate for the growth defect in jem1 scj1 mutant yeast. Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.",ER,GFP,18718935
AT3G55360,"CER10 / ECR","Enoyl-CoA reductase is involved in all very long chain fatty acids (VLCFA) elongation reactions that are required for cuticular wax, storage lipid and sphingolipid metabolism. The protein is located in the ER, but in contrast to its yeast homolog TSC13 is not particularly enriched in the nuclear envelope-vacuole junction. Mutants in this gene show abnormal organ morphology and stem glossiness. Cells in all tissues are only about 1/3 of the size of wild type cells. The morphological changes are most likely to result from the reduction in the VLCFA content of sphingolipids. Mutants also show abnormalities in the endocytic membrane organization and transport.",ER,GFP,15829606
AT3G60600,VAP27-1,"Encodes VAP27 (for Vesicle-Associated Protein).  VAP27 has high homology to the VAP33 family of SNARE-like proteins from animals.  May be involved in vesicular transport to or from the ER.  Located exclusively in limiting membrane of protein storage vacuoles. Binds SRC2.",ER,GFP,11907339
AT4G27860,MEB1,"vacuolar iron transporter (VIT) family protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF125, transmembrane (InterPro:IPR008217), Cytokine, IL-1-like (InterPro:IPR008996); BEST Arabidopsis thaliana protein match is: Vacuolar iron transporter (VIT) family protein (TAIR:AT4G27870.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",ER,GFP,23166355
AT2G40190,LEW3,"Encodes a putative alpha-1,2-mannosyltransferase in N-linked glycoprotein (homologous to yeast ALG11).  Plays vital roles in cell-wall biosynthesis and abiotic stress response. Located in  endoplasmic reticulum membrane.",ER,GFP,19732381
AT3G52190,PHF1,"Encodes a plant specific protein structurally related to the SEC12 proteins of the early secretory pathway. Mutation of PHF1 impairs Pi transport. Expression was detected in all tissues, and was induced by Pi starvation. Localized in endoplasmic reticulum (ER), and mutation of PHF1 resulted in ER retention and reduced  accumulation of the plasma membrane PHT1;1 transporter.",ER,GFP,16284308
AT2G45140,PVA12,"Encodes a Plant VAMP-Associated protein that localizes to the ER and binds to the sitosterol-binding protein ORP3a. The WFDE motif in ORP3a appears to be important for this direct interaction. Mutation of this motif causes ORP3a to relocalize to the Golgi and cytosol. The interaction between PVA12 and ORP3a does not appear to be sterol-dependent.",ER,GFP,19207211
AT1G61790,OST3/6,"Oligosaccharyltransferase complex/magnesium transporter family protein; FUNCTIONS IN: oligosaccharide transmembrane transporter activity; INVOLVED IN: biological_process unknown; LOCATED IN: endoplasmic reticulum, plasma membrane, chloroplast; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Magnesium transporter protein 1 (InterPro:IPR006844), Oligosaccharyltransferase complex/magnesium transporter (InterPro:IPR021149); BEST Arabidopsis thaliana protein match is: Oligosaccharyltransferase complex/magnesium transporter family protein (TAIR:AT1G11560.1); Has 387 Blast hits to 387 proteins in 136 species: Archae - 0; Bacteria - 0; Metazoa - 196; Fungi - 79; Plants - 91; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink).",ER,GFP,23493405
AT1G20575,DPMS1,"Nucleotide-diphospho-sugar transferases superfamily protein; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 2 (InterPro:IPR001173); BEST Arabidopsis thaliana protein match is: Nucleotide-diphospho-sugar transferases superfamily protein (TAIR:AT2G39630.1); Has 22705 Blast hits to 22656 proteins in 2589 species: Archae - 933; Bacteria - 16103; Metazoa - 288; Fungi - 260; Plants - 98; Viruses - 23; Other Eukaryotes - 5000 (source: NCBI BLink).",ER,GFP,21558543
AT5G42020,BiP2,"Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.",ER,GFP,"20231441, 18931141"
AT4G32130," ","FUNCTIONS IN: carbohydrate binding; INVOLVED IN: biological_process unknown; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: male gametophyte, callus, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Carbohydrate-binding-like fold (InterPro:IPR013784), Protein of unknown function DUF2012 (InterPro:IPR019008); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF2012) (TAIR:AT2G25310.1); Has 295 Blast hits to 295 proteins in 131 species: Archae - 0; Bacteria - 8; Metazoa - 141; Fungi - 68; Plants - 50; Viruses - 0; Other Eukaryotes - 28 (source: NCBI BLink).",ER,GFP,16618929
AT1G15110,PSS1,"PSS1 encodes a base-exchange-type Phosphatidylserine (PS) synthase. Mutant analysis revealed its role in pollen maturation.",ER,GFP,21554450
AT1G11890,SEC22,"member of SEC22 Gene Family",ER,GFP,15342965
AT5G47990,CYP705A5,"encodes a member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings.",ER,GFP,21515817
AT5G28540,BiP1,"Encodes the luminal binding protein BiP, an ER-localized member of the HSP70 family.  BiP is composed of an N-terminal ATP binding domain and a C-terminal domain that binds to hydrophobic patches on improperly/incompletely folded proteins in an ATP-dependent manner. Involved in polar nuclei fusion during proliferation of endosperm nuclei.",ER,GFP,"19763086, 18931141"
AT2G03120,SPP,"homologous to Signal Peptide Peptidases (SPP), required for pollen development and pollen germination. No homozygotes could be recovered from a T-DNA insertion mutant.",ER,GFP,18067581
AT4G11220,"BTI2 / RTNLB2","VIRB2-interacting protein 2 (BTI2); INVOLVED IN: biological_process unknown; LOCATED IN: endoplasmic reticulum, plasma membrane, endoplasmic reticulum membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Reticulon (InterPro:IPR003388); BEST Arabidopsis thaliana protein match is: VIRB2-interacting protein 1 (TAIR:AT4G23630.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ER,GFP,20424177
AT5G03160,P58IPK,"J domain protein localized in ER lumen. Can partially compensate for the growth defect in jem1 scj1 mutant yeast.",ER,GFP,18718935
AT2G25110,SDF2,"Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.",ER,GFP,19763086
AT4G34640,SQS1,"Encodes squalene synthase, which converts two molecules of farnesyl diphosphate (FPP) into squalene via an intermediate: presqualene diphosphate (PSPP). It is generally thought to be one of the key enzymes of sterol biosynthesis, since it catalyzes the first pathway-specific reaction of the sterol branch of the isoprenoid pathway.",ER,GFP,18236008
AT5G47120,BI1,"Encodes BI-1, a homolog of mammalian Bax inhibitor 1.  Functions as an attenuator of biotic and abiotic types of cell death.  Bax-induced cell death can be downregulated by ectopically expressing AtBI in planta.",ER,GFP,"17322552, 15604726"
AT4G23630,"BTI1 / RTNLB1","VIRB2-interacting protein 1 (BTI1); INVOLVED IN: biological_process unknown; LOCATED IN: endoplasmic reticulum, plasma membrane, endoplasmic reticulum membrane, vacuole; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Reticulon (InterPro:IPR003388); BEST Arabidopsis thaliana protein match is: VIRB2-interacting protein 2 (TAIR:AT4G11220.1); Has 1242 Blast hits to 1240 proteins in 114 species: Archae - 0; Bacteria - 0; Metazoa - 705; Fungi - 11; Plants - 505; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink).",ER,GFP,20424177
AT3G61990,OMTF3,"Encodes a protein methyltransferase. Involved in the methylation of plant transmembrane proteins.",ER,GFP,21062871
AT5G45420,maMYB,"The gene encodes a MYB transcription factor belons to R2R3-MYB family of transcription factors. Knock-down mutant analysis indicates its role in root hair elongation.",ER,GFP,21477080
AT5G24290,MEB2,"Vacuolar iron transporter (VIT) family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF125, transmembrane (InterPro:IPR008217); BEST Arabidopsis thaliana protein match is: vacuolar iron transporter (VIT) family protein (TAIR:AT4G27860.1); Has 11871 Blast hits to 4498 proteins in 431 species: Archae - 22; Bacteria - 6501; Metazoa - 1569; Fungi - 486; Plants - 257; Viruses - 63; Other Eukaryotes - 2973 (source: NCBI BLink).",ER,GFP,23166355
AT3G57650,LPAT2,"Encodes an endoplasmic reticulum localized protein with lysophosphatidyl acyltransferase activity.",ER,Immunofluorescence,15772283
AT5G23630,PDR2,"A member of the eukaryotic type V subfamily (P5) of P-type ATPase cation pumps; MIA is most similar to the human P5 ATPase ATY2(44% identity) and to Spf1p from S. cerevisiae (41% identity). Highly abundant in the endoplasmic reticulum and small vesicles of developing pollen grains and tapetum cells. T-DNA insertional mutants of MIA suffer from imbalances in cation homeostasis and exhibit a severe reduction in fertility. Mutant microspores fail to separate from tetrads and pollen grains are fragile with an abnormal morphology and altered cell wall structure.  MIA is also named PDR2 and was shown to be required for proper expression of SCARECROW (SCR), a key regulator of root patterning, and for stem-cell maintenance in Pi-deprived roots.",ER,"Immunogold labeling",16291648
AT1G07810,ECA1,"Encodes an ER-type Ca2+-pumping ATPase.",ER,immunolocalisation,9238019
AT2G29960,CYP5,"encodes a cyclophilin protein that exhibits peptidylprolyl cis/trans-isomerase and protein refolding activities that were sensitive to cyclosporin A. The protein interacts with GNOM in vitro and is localized to both the cytosolic and membrane fractions. The gene is expressed in the developing embryo.",ER,Immunolocalization,18203920
AT5G60620,GPAT9,"Glycerol-3-phosphate acyltransferase localized to the ER. Similar to mammalian cells involved in storage oil formation.",ER,Immunolocalization,19539490
AT5G48810,CYTB5D,"Encodes a cytochrome b5 isoform that localizes to the ER. The C-terminal portion of the protein appears to be capable of inserting into a plant microsomal membrane in vitro and the protein appears to be subject to glycosylation.",ER,YFP,17322552
AT1G06890," ","Nucleotide/sugar transporter family protein",Golgi,GFP,16618929
AT1G10950,TMN1,"Encodes an Arabidopsis Transmembrane nine (TMN) protein.  Transmembrane nine (TM9) proteins are localized in the secretory pathway of eukaryotic cells and are involved in cell adhesion and phagocytosis.",Golgi,GFP,22570441
AT1G19360,RRA3,"Encodes an arabinosyltransferase that modifies extensin proteins in root hair cells.",Golgi,GFP,21680836
AT1G27930," ","Function unknown.  Interacts with eIF3.",Golgi,GFP,"Unpublished observation"
AT1G29790," ","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: Golgi apparatus, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF248, methyltransferase putative (InterPro:IPR004159); BEST Arabidopsis thaliana protein match is: S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (TAIR:AT5G40830.2); Has 271 Blast hits to 269 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 271; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",Golgi,GFP,"Unpublished observation"
AT1G31850," ","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF248, methyltransferase putative (InterPro:IPR004159); BEST Arabidopsis thaliana protein match is: S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (TAIR:AT4G19120.2); Has 1070 Blast hits to 1059 proteins in 86 species: Archae - 5; Bacteria - 108; Metazoa - 0; Fungi - 3; Plants - 946; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).",Golgi,GFP,16618929
AT1G51630,MSR2,"O-fucosyltransferase family protein; CONTAINS InterPro DOMAIN/s: GDP-fucose protein O-fucosyltransferase (InterPro:IPR019378); BEST Arabidopsis thaliana protein match is: O-fucosyltransferase family protein (TAIR:AT3G21190.1); Has 751 Blast hits to 749 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 751; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",Golgi,GFP,22966747
AT1G78920,VP2,"Encodes a type II H+-PPases that localizes to and function as a proton pump of the Golgi apparatus in most tissues except for mature leaves.",Golgi,GFP,"16367960, 15863516, 11163790"
AT2G22900,GTL6,"Galactosyl transferase GMA12/MNN10 family protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups, transferase activity; INVOLVED IN: biological_process unknown; LOCATED IN: Golgi apparatus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Galactosyl transferase (InterPro:IPR008630); BEST Arabidopsis thaliana protein match is: Galactosyl transferase GMA12/MNN10 family protein (TAIR:AT4G37690.1); Has 459 Blast hits to 458 proteins in 96 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 139; Plants - 283; Viruses - 4; Other Eukaryotes - 29 (source: NCBI BLink).",Golgi,GFP,"PhD thesis, Mogelsvang, University of Cambridge PhD Thesis, 1999"
AT2G35610,XEG113,"Encodes an arabinosyltransferase that modifies extensin proteins in root hair cells.",Golgi,GFP,21680836
AT2G44610,RAB6A,"Encodes a GTP-binding protein with similarity to yeast YPT6 . RAB6 can complement the yeast YTP mutant.",Golgi,GFP,19454595
AT3G05280," ","Integral membrane Yip1 family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Yip1 domain (InterPro:IPR006977); BEST Arabidopsis thaliana protein match is: Integral membrane Yip1 family protein (TAIR:AT5G27490.1); Has 519 Blast hits to 518 proteins in 178 species: Archae - 0; Bacteria - 0; Metazoa - 224; Fungi - 115; Plants - 92; Viruses - 0; Other Eukaryotes - 88 (source: NCBI BLink).",Golgi,GFP,21826108
AT3G21190,MSR1,"O-fucosyltransferase family protein; CONTAINS InterPro DOMAIN/s: GDP-fucose protein O-fucosyltransferase (InterPro:IPR019378); BEST Arabidopsis thaliana protein match is: O-fucosyltransferase family protein (TAIR:AT1G51630.1); Has 760 Blast hits to 758 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 760; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",Golgi,GFP,22966747
AT3G27220," ","Galactose oxidase/kelch repeat superfamily protein; CONTAINS InterPro DOMAIN/s: Galactose oxidase/kelch, beta-propeller (InterPro:IPR011043), Kelch related (InterPro:IPR013089), Kelch-type beta propeller (InterPro:IPR015915); BEST Arabidopsis thaliana protein match is: Galactose oxidase/kelch repeat superfamily protein (TAIR:AT1G51540.1); Has 1505 Blast hits to 1317 proteins in 198 species: Archae - 25; Bacteria - 276; Metazoa - 909; Fungi - 25; Plants - 115; Viruses - 52; Other Eukaryotes - 103 (source: NCBI BLink).",Golgi,GFP,16618929
AT3G49720," ","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, Golgi apparatus, plasma membrane, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G65810.1); Has 64 Blast hits to 64 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 64; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",Golgi,GFP,16618929
AT3G62720,XXT1,"Encodes a protein with xylosyltransferase activity, which is specific for UDP-xylose as donor substrate and for oligosaccharides with a degree of polymerization >4. Although the enzyme utilizes either cellopentaose or cellohexaose, its activity is four-fold higher with cellohexaose as an acceptor compared to cellopentaose. The enzyme is able to add several xylosyl residues to the acceptor forming mono-, di- and trixylosylated polysaccharides.",Golgi,GFP,21143678
AT3G62830,"UXS2 / AUD1","encodes an isoform of UDP-glucuronic acid decarboxylase, which is predicted to be membrane-bound by PSORT. This enzyme produces UDP-xylose, which is a substrate for many cell wall carbohydrates including hemicellulose and pectin. UDP-xylose is also known to feedback regulate  several cell wall biosynthetic enzymes.",Golgi,GFP,15655675
AT4G00740,QUA3,"Encodes a Golgi-localized type II membrane pectin methyltransferase regulating cell wall biosynthesis in suspension cells.",Golgi,GFP,21725030
AT4G27720," ","Major facilitator superfamily protein; LOCATED IN: plasma membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF791 (InterPro:IPR008509), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT3G49310.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",Golgi,GFP,22430844
AT4G30440,GAE1,"UDP-D-glucuronate 4-epimerase",Golgi,GFP,22430844
AT5G20350,TIP1,"Encodes a protein containing ankyrin and DHHC-CRD domain. Acts to restrict the size of the swelling that forms at the beginning of root hair cell growth, possibly by a mechanism that requires RHD1. Mutant displays defects in both root hair and pollen tube growth.",Golgi,GFP,22430844
AT5G25100," ","Endomembrane protein 70 protein family; CONTAINS InterPro DOMAIN/s: Nonaspanin (TM9SF) (InterPro:IPR004240); BEST Arabidopsis thaliana protein match is: Endomembrane protein 70 protein family (TAIR:AT5G10840.1).",Golgi,GFP,22570441
AT5G14950,GMII,"Encodes a golgi alpha-mannosidase, an enzyme responsible for the formation of major complex-type N-glycans.",Golgi,GFP,16460512
AT5G18280,APY2,"Encodes an enzyme with ATPase and ADPase activity (an apyrase) that when mutated in combination with ATAPY1 causes a complete inhibition of pollen germination.",Golgi,GFP,22430844
