SeqID	Mono_NLS_Signal26	Transmembrane_signal2	AutoCorrelatuion|d=2|0-100|volume	AutoCorrelatuion|d=3|0-20|hydrophob	AutoCorrelatuion|d=1|-90--1|hydrophob	AutoCorrelatuion|d=6|0-50|charge	AutoCorrelatuion|d=2|0--1|charge	hist_normed|0-20|aminoacid|A	hist_normed|0-20|aminoacid|C	Paacount|d=5|0-100|aminoacid|L	hist|0-110|aminoacid|W	maxPaacount|0-150|aminoacid|K	hist|0-160|aminoacid|D	maxPaacountNormed|-60--1|aminoacid|S	maxPaacount|0--1|aminoacid|I	maxPaacountNormed|0-50|hydrophob|2	Paacount|d=4|0-190|hydrophob|2	Paacount|d=4|0-40|polar|1	hist_normed|0-30|charged|1	hist_normed|0-90|charged|2	maxPaacountNormed|-80--1|charged|2	minPaacount|50--40|charged|2	maxPaacountNormed|0-10|size|0	hist|0-170|aliphatic_helix|2	0005737	0003824	0005783	0003676	0043234	0006096	0002119	n114	n116	n117	n118	n119	n121	GO:0005739	GO:0005783	GO:0005764	
Q8C1A5	38.952	2.979	16976.018776	0.295172	0.264072	35.070049	36.100908	0.098361	0.066667	0	1	0.014493	13	0.004545	0.001497	0.061224	0.086022	0.055556	0.030303	0.089109	0.012987	0.001533	0.222222	62	1	0	0	0	0	0	0	0.127672	0.108115	0.095218	0.096391	0.096285	0.348583	0	0	0	Cytosol
P97371	59.974	2.617	18418.067755	0.140559	0.218668	35.042867	36.090759	0.1875	0	0.021053	0	0.043478	10	0	0.012987	0.081633	0.11828	0.194444	0.108696	0.413043	0.017544	0.001174	0.0625	69	1	0	0	0	1	0	0	0.054049	0.03734	0.017589	0.01277	0.00435	0.822348	0	0	0	Proteasome
P26231	65.598	3.624	18203.922449	0.224946	0.229908	36.871309	36.5592	0.018519	0	0.021053	1	0.041667	9	0.005495	0.004484	0.061224	0.091398	0.111111	0.030075	0.125926	0.064103	0.000725	0.111111	52	0	0	0	0	0	0	0	0.265813	0.205298	0.094092	0.075608	0.010921	0.015714	0	0	0	Plasma_membrane
Q6PE15	30.02	3.076	18177.102143	0.294164	0.268646	44.712676	38.410638	0.178571	0.125	0.021053	5	0.013605	5	0.002222	0.013793	0.061224	0.069892	0.027778	0	0.3125	0.025641	0.000505	0.111111	45	0	0	0	0	0	0	0	0.083073	0.11706	0.359262	0.233689	0.068502	0.033485	1	0	0	Mitochondrion
Q8CCJ3	94.932	3.735	18863.17051	0.22128	0.224005	37.169174	36.787941	0.111111	0	0	1	0.007463	12	0.034483	0.011465	0.081633	0.123656	0.222222	0.050847	0.108527	0.038462	0.001199	0.0625	68	0	0	0	0	0	0	0	0.13878	0.229291	0.177533	0.126724	0.06321	0.042646	0	1	0	Endoplasmic_reticulum
Q8K297	47.462	5.282	17092.826633	0.461758	0.192314	38.209576	37.842834	0.039216	0	0.042105	3	0.007634	7	0.007407	0.001672	0.122449	0.091398	0	0.012195	0.112245	0.012987	0.001036	0.222222	63	0	0	1	0	0	0	0	0.14114	0.257554	0.231967	0.184036	0.032403	0.025569	0	0	0	Endoplasmic_reticulum
Q9CQZ6	34.908	7.017	17958.593776	0.080206	0.273442	39.18528	38.774329	0.166667	0	0.010526	4	0.019231	4	0	0.010204	0.020833	0.079208	0.277778	0.333333	0.782609	0.051282	-1	0.222222	32	0	0	0	0	0	0	0	0.031527	0.107331	0.455916	0.254173	0.095496	0	1	0	0	Mitochondrion
P35980	48.964	3.142	20875.666122	0.066848	0.198589	46.830679	47.578813	0	0	0.010526	0	0.020979	6	0.002451	0.005882	0.102041	0.07027	0.333333	0.307692	0.436364	0.051948	0.000686	0	45	1	0	0	0	0	0	0	0.080329	0.130276	0.128867	0.116714	0.317191	0.097862	0	0	0	60S_Ribosome
Q60597	28.988	4.118	17416.940204	0.254078	0.240568	41.740173	37.020755	0.041096	0.043478	0	2	0.007519	6	0	0.004921	0.035461	0.05914	0.055556	0	0.077922	0.038462	0.000932	0.111111	65	0	0	0	0	0	1	0	0.017399	0.103835	0.490888	0.322256	0.042547	0.006398	1	0	0	Mitochondrion
Q91YP0	28.244	5.207	14724.348163	0.394281	0.241453	39.884362	37.510614	0.058824	0.153846	0.010526	1	0.013514	2	0.017241	0.008969	0.102041	0.080645	0	0	0.171875	0.012987	0.000198	0.111111	45	0	0	0	0	0	0	0	0.082622	0.062174	0.135226	0.396894	0.147192	0	1	0	0	Mitochondrion
Q60751	55.4	8.139	18151.446531	0.361657	0.214497	33.932352	35.803726	0	0	0	3	0.015267	7	0.034483	0.006618	0.122449	0.102151	0	0	0.057471	0.025641	0.000738	0.666667	47	1	0	1	0	0	0	0	0.260955	0.15927	0.091083	0.060409	0.009966	0.009549	0	0	0	Plasma_membrane
Q6PDQ2	209.86	4.418	16255.84102	0.215441	0.230049	25.582073	36.796893	0.015873	0.037037	0.010526	0	0.095238	16	0.003145	0.00315	0.020408	0.037634	0.138889	0.014925	0.048485	0.012821	0.001515	0.333333	91	0	0	0	1	0	0	0	0.026917	0.04021	0.048699	0.661353	0.122373	0.069702	0	0	0	Nucleus_-_Chromatin
Q9Z2U0	39.596	2.883	17434.527959	0.263693	0.199599	36.730132	37.937478	0.043478	0	0	0	0.014706	11	0	0.012295	0.102041	0.05914	0.083333	0.105263	0.340909	0.051282	0.000394	0.041667	48	1	0	0	0	1	0	1	0.044009	0.040554	0.025644	0.061302	0.029269	0.754824	0	0	0	Proteasome
P48962	28.304	4.45	19064.498878	0.355267	0.31755	38.611645	39.010575	0.151515	0	0	2	0.014599	8	0	0.013468	0.081633	0.134409	0.027778	0.130435	0.27907	0.064103	0.000291	0.0625	44	0	0	0	0	0	0	0	0.019402	0.107044	0.495287	0.285875	0.063189	0.009756	1	0	0	Mitochondrion
O88696	22.16	4.481	17727.681327	0.275711	0.23287	41.225642	37.315515	0.111111	0.166667	0.010526	2	0.006711	5	0.002222	0.019531	0.061224	0.139785	0.055556	0.074074	0.411765	0.025641	0	0.0625	51	1	0	0	0	0	0	1	0.063713	0.127154	0.379293	0.292194	0.050906	0.014131	1	0	0	Mitochondrion
Q9WVA2	34.408	1.386	18128.577917	0.214248	0.222083	33.603147	34.624272	0.4	0	0	1	0.021277	5	0.017544	0.010989	0.102041	0.138298	0.222222	0.266667	0.923077	0.012987	-1	0.555556	44	0	0	0	0	0	0	0	0.042646	0.13331	0.409235	0.267902	0.067546	0.022844	0	0	0	Mitochondrion
Q9DB77	26.984	2.161	16582.355918	0.308496	0.267009	40.144648	37.22583	0.033333	0	0.052632	0	0.015267	3	0.009091	0.006818	0.061224	0.096774	0.055556	0	0.214286	0.025641	0.000237	0.222222	52	0	1	0	0	0	0	0	0.112601	0.13573	0.257267	0.191869	0.109954	0.06563	1	0	0	Mitochondrion
P26043	98.814	3.416	20251.791939	0.208088	0.124135	35.01891	37.183575	0.04	0	0	2	0.028169	8	0.017241	0.005319	0.102041	0.107527	0.166667	0.026786	0.122807	0.038462	0.002354	0	60	1	0	0	0	0	0	0	0.313167	0.237364	0.110845	0.071869	0	0.072938	0	0	0	Plasma_membrane
P26040	94.814	3.557	20151.165918	0.208088	0.118321	34.949376	37.095925	0.05	0	0	2	0.022901	10	0.004545	0.008818	0.072917	0.112903	0.166667	0.026786	0.123894	0.026316	0.002088	0	61	1	0	0	0	1	0	0	0.303597	0.177982	0.078871	0.064115	0.026215	0.037811	0	0	0	Plasma_membrane
P26041	96.366	2.68	20174.624082	0.203439	0.110037	34.929502	37.38157	0.039216	0	0	2	0.022901	10	0.002222	0.005376	0.102041	0.112903	0.166667	0.027273	0.121739	0.032468	0.002246	0	58	1	0	0	0	1	0	0	0.320787	0.20132	0.085748	0.043957	0.016804	0.038679	0	0	0	Plasma_membrane
Q80XN0	30.476	2.747	16563.363469	0.296873	0.272779	41.320728	38.112096	0.1	0	0.010526	0	0.015267	9	0.017241	0.006135	0.040816	0.075269	0.138889	0.054054	0.277778	0.025641	0.000672	0.111111	54	0	1	1	0	0	0	0	0.049776	0.119951	0.39063	0.302705	0.064914	0.02783	1	0	0	Mitochondrion
P62281	51.142	1.602	20190.939184	0.164119	0.229438	41.970694	42.831015	0.333333	0	0	0	0.022727	5	0.004545	0.021127	0.061224	0.090323	0.194444	0.230769	0.512821	0.076923	0.002105	0.047619	40	1	0	0	0	0	0	0	0.067918	0.096415	0.114902	0.166124	0.289968	0.162668	0	0	0	40S_Ribosome
Q9CZW5	45.088	6.562	13798.074388	0.312352	0.212085	36.772464	37.080283	0.113924	0	0	2	0.020833	5	0.002222	0.005042	0.03125	0.032258	0	0.011905	0.148936	0.012821	0.000988	0.333333	51	0	0	0	0	0	0	0	0.046565	0.128054	0.348331	0.361778	0.061655	0.009851	1	0	0	Mitochondrion
Q9DCT6	48.906	1.767	16751.444898	0.308205	0.246691	33.115387	36.929835	0.263158	0	0	1	0.029412	9	0.051724	0.006494	0.040816	0.047619	0.055556	0.090909	0.583333	0.051282	0.00128	0.222222	66	0	0	0	0	0	0	0	0	0	0.062202	0.596485	0.164595	0.176718	0	0	0	Nucleus_-_Chromatin
Q9D024	35.1	5.212	16666.420204	0.523532	0.106406	24.222733	34.58359	0.111111	0.166667	0	0	0.007634	23	0	0.004264	0.183673	0.102151	0.166667	0.080808	0.041096	0.089744	0.000982	0.047619	82	0	0	0	0	0	0	0	0.126925	0.270882	0.230268	0.18316	0.045024	0.019988	0	1	0	Endoplasmic_reticulum
Q8BMK4	51.548	5.304	13757.21398	0.147709	0.192361	39.133132	35.995223	0.06383	0	0.010526	1	0.007463	5	0.003704	0.003503	0	0.080645	0.111111	0.021739	0.202247	0.012987	0.001055	0.222222	74	0	0	0	0	0	0	0	0.103556	0.241556	0.263597	0.181711	0.059567	0.007442	0	1	0	Endoplasmic_reticulum
Q9DCT2	30.148	2.795	17409.681429	0.311678	0.208684	44.098784	37.247121	0.28	0.25	0	2	0.007407	9	0.001587	0.007843	0.102041	0.112903	0.111111	0	0.348837	0.051282	0.00061	0.444444	54	0	1	0	0	0	0	0	0	0.127111	0.502446	0.306937	0.063506	0	1	0	0	Mitochondrion
Q8BKZ9	34.028	3.954	18160.322245	0.313759	0.259971	40.774436	37.139331	0.037037	0.166667	0.010526	5	0.007634	9	0.017241	0.010288	0.0625	0.075269	0.055556	0	0.184615	0.006494	0.000417	0.222222	66	0	0	0	0	0	1	0	0.079996	0.137607	0.359229	0.213501	0.09833	0.030421	1	0	0	Mitochondrion
Q61391	49.562	6.844	18172.661633	0.187779	0.243376	37.417172	35.470722	0.02	0	0.010526	2	0.02027	12	0.003344	0.008065	0.142857	0.112903	0.111111	0.041237	0.105263	0.038462	0.000246	0.125	56	0	1	0	0	0	0	0	0.20836	0.240406	0.115998	0.086792	0.056267	0.103459	0	0	0	Plasma_membrane
Q8K3F7	25.292	3.309	17231.17051	0.304263	0.240243	40.583603	37.449855	0.057143	0	0.031579	0	0.014286	6	0.002451	0.008451	0.142857	0.112903	0.055556	0	0.28	0.051282	0.000209	0	55	0	0	0	0	0	0	0	0.027318	0.094256	0.477187	0.263499	0.088061	0.009166	1	0	0	Mitochondrion
P41105	71	1.539	18493.978061	0.279169	0.201606	41.875085	47.174338	0.083333	0.5	0	1	0.024194	2	0.034483	0.008403	0.122449	0.044776	0.083333	0.2	0.526316	0.115385	0.001852	0.111111	39	0	0	0	0	0	0	1	0.051803	0.122159	0.128796	0.116837	0.3974	0.101811	0	0	0	60S_Ribosome
P19253	90.75	2.207	19048.684184	0.231587	0.234488	42.100787	46.287833	0.117647	0	0	1	0.021277	3	0	0.005435	0.204082	0.075269	0.055556	0.142857	0.357143	0.102564	0.003639	0.0625	36	1	0	0	0	0	0	1	0.072387	0.129229	0.120791	0.122494	0.313046	0.106306	0	0	0	60S_Ribosome
P62806	52.73	1.82	18197.983367	0.164761	0.252944	51.874895	46.049535	0.125	0	0	0	0.033708	3	0	0.022989	0.028369	0.08	0.25	0.125	0.857143	0.076923	-1	0.222222	16	0	0	0	0	0	0	0	0.011091	0.031091	0.048895	0.682907	0.187916	0.028532	0	0	0	Nucleus_-_Chromatin
Q9CR98	37.98	1.388	17534.75949	0.249114	0.193908	34.391776	37.159347	0.230769	0	0.010526	0	0.016129	9	0.017241	0.008065	0.081633	0.148148	0.194444	0.25	0.538462	0.025641	0	0	51	0	0	0	0	0	0	0	0	0.135092	0.515707	0.27095	0.078252	0	1	0	0	Mitochondrion
P19258	30.8	6.853	17555.300816	0.278429	0.401889	39.782307	38.256636	0.277778	0	0.031579	3	0.007519	6	0.005952	0	0.102041	0.150289	0.111111	0	0.636364	0.019481	0	0.083333	42	0	0	0	0	0	0	0	0.057856	0.142828	0.373027	0.229629	0.094451	0.02432	1	0	0	Mitochondrion
O08756	36.436	4.141	15140.893878	0.348788	0.315512	36.483011	37.244446	0.142857	0	0	1	0.013514	5	0.003145	0.012146	0.122449	0.086022	0.027778	0	0.344828	0.006494	0	0.222222	47	0	1	1	0	0	0	0	0.038744	0.126734	0.395788	0.336492	0.055184	0.047057	0	0	0	Mitochondrion
P62192	117.744	2.686	19071.520816	0.133187	0.234428	46.210324	36.73348	0	0	0.010526	0	0.053691	11	0	0.01373	0.005435	0.080645	0.277778	0.053333	0.311688	0.038462	0.000595	0.25	66	1	0	1	0	1	0	1	0.042294	0.040141	0.024584	0.026461	0.028824	0.772097	0	0	0	Proteasome
P62751	72.252	2.319	19597.344184	0.189713	0.255516	51.226624	45.356232	0.333333	0	0	0	0.064748	9	0	0.014599	0.020408	0.045752	0.166667	0.133333	0.717391	0.051282	0.001425	0.047619	43	1	0	0	0	0	0	0	0.082145	0.122024	0.122838	0.098526	0.347072	0.088978	0	0	0	60S_Ribosome
P62196	52.954	3.366	19247.907857	0.208685	0.207606	37.465982	37.228079	0.076923	0	0.021053	0	0.022556	11	0.003704	0.009926	0.040816	0.112903	0.111111	0.114754	0.231884	0.051282	0.000929	0.047619	63	1	0	1	0	1	0	1	0.043917	0.062867	0.045797	0.060547	0.030436	0.715697	0	0	0	Proteasome
Q9D338	32.892	3.127	17411.146633	0.253343	0.190916	41.744843	39.127692	0.238095	0.142857	0	0	0.013699	6	0.005952	0.010989	0.03125	0.075269	0	0.025641	0.307692	0.025974	0.000709	0.222222	53	0	0	0	0	0	0	0	0.031678	0.106717	0.419728	0.231699	0.117974	0.022974	1	0	0	Mitochondrion
Q8BPG6	33.648	6.16	18676.207857	0.44697	0.208348	37.163217	37.241051	0	0	0.042105	3	0.014925	8	0.017241	0.003268	0.244898	0.11828	0	0.027027	0.309524	0.012987	0.000437	0.041667	58	0	0	1	0	0	0	0	0.125007	0.218069	0.195164	0.15777	0.065205	0.051824	0	1	0	Endoplasmic_reticulum
Q925I1	44.524	3.272	15924.38398	0.311598	0.219302	37.615449	38.705898	0	0	0	2	0.014493	6	0.017241	0.005111	0.040816	0.010753	0.083333	0.02439	0.122642	0.013158	0.001415	0.047619	74	0	0	0	0	1	0	0	0.046592	0.122166	0.43864	0.282025	0.058288	0.005393	1	0	0	Mitochondrion
P30999	56.246	3.052	17468.978776	0.1961	0.167593	35.296321	37.27276	0.030303	0	0	0	0.007042	10	0.009091	0.004324	0.021277	0.037634	0.222222	0.051852	0.099338	0.017544	0.000951	0.0625	69	1	0	0	0	0	0	0	0.171397	0.130329	0.098646	0.057409	0.034385	0.118813	0	0	0	Plasma_membrane
P35486	37.48	4.192	18748.73051	0.270499	0.192308	41.052163	37.297696	0.125	0	0.010526	0	0.013514	6	0.017241	0.005263	0.081633	0.080645	0.111111	0	0.316667	0.012987	0.000785	0.111111	40	0	0	0	0	0	1	0	0.031633	0.107289	0.465385	0.288619	0.062937	0.00627	1	0	0	Mitochondrion
Q9CQ75	29.48	1.983	17687.49602	0.248667	0.232257	44.048052	39.714721	0.5	0	0	1	0.012346	2	0.003704	0.024691	0.061224	0.09375	0.138889	0.111111	0.888889	0.012821	-1	0.555556	31	0	0	0	0	0	0	0	0.08299	0.126288	0.352184	0.239203	0.089766	0.020006	1	0	0	Mitochondrion
P62897	51.69	1.825	17668.135102	0.206312	0.253166	41.993457	40.534589	0.111111	0.666667	0	1	0.076087	4	0	0.021053	0.061224	0.04902	0.194444	0.25	0.833333	0.064103	-1	0.04	26	0	0	0	0	0	0	1	0.049557	0.114097	0.399408	0.333011	0.05441	0.009486	0	0	0	Mitochondrion
P62892	59.482	1.437	22466.145	0.191777	0.171779	56.08801	54.993871	0.5	0	0	2	0.058824	0	0.02	0.030303	0.040816	0.041667	0.25	0	0.952381	0.14	-1	0.111111	13	1	0	0	0	0	0	1	0.124843	0.187461	0.17367	0.181465	0.111577	0.117603	0	0	0	60S_Ribosome
P62717	44.7	2.083	20354.642041	0.265876	0.197051	45.140115	44.904451	0.083333	0.166667	0	2	0.022222	4	0	0.006369	0.122449	0.052023	0.027778	0.090909	0.425532	0.089744	0.001299	0.222222	47	0	0	0	0	0	0	1	0.089999	0.182289	0.170249	0.173679	0.187754	0.110919	0	0	0	60S_Ribosome
P62267	44.104	3.382	17998.404592	0.150554	0.262877	50.052893	44.096982	0.071429	0.25	0	1	0.039063	5	0.001587	0.008065	0.01084	0.057143	0.277778	0.166667	0.684211	0.051282	0	0.083333	37	1	0	0	0	0	0	1	0.094672	0.099787	0.107075	0.125569	0.314052	0.106237	0	0	0	40S_Ribosome
P62264	52.238	2.414	16916.626327	0.162243	0.201112	34.027022	41.087532	0.0625	0	0.010526	0	0.02027	7	0.008772	0.007519	0.102041	0.054054	0.138889	0.294118	0.451613	0.051282	0	0.041667	43	1	0	0	0	0	0	1	0.08143	0.153198	0.132711	0.164469	0.160311	0.185391	1	0	0	40S_Ribosome
Q8R2Y8	21.444	4.933	16384.254592	0.380804	0.264572	35.747956	36.732769	0.071429	0	0.010526	2	0.015267	5	0.001587	0.01227	0.102041	0.095506	0.027778	0.052632	0.458333	0.012987	0.000784	0	51	1	0	0	0	0	0	0	0.081976	0.162208	0.332228	0.252949	0.066538	0.007794	1	0	0	Mitochondrion
P47964	66.03	2.011	19919.848163	0.293068	0.189933	49.448779	48.069194	0.166667	0	0	0	0.045977	2	0.008772	0.010309	0.061224	0.107843	0.222222	0	0.914286	0.128205	-1	0.0625	26	1	0	0	0	0	0	1	0.11959	0.227542	0.166623	0.208905	0.08712	0.125329	0	0	0	60S_Ribosome
Q8R2Y2	31.156	7.289	17563.412041	0.473901	0.321821	34.542685	35.71303	0.058824	0.277778	0.010526	1	0.007519	6	0.003344	0.001577	0.22449	0.080645	0	0.02439	0.158537	0.051282	0.000682	0	60	0	0	0	0	0	0	0	0.218027	0.194387	0.098387	0.083463	0.041063	0.105087	0	0	0	Plasma_membrane
P47962	61.656	2.801	20506.049694	0.246885	0.183878	50.484414	41.27082	0.034483	0	0	0	0.020979	7	0.001894	0.007143	0.081633	0.069892	0.277778	0.057143	0.369231	0.115385	0.000691	0	34	1	0	0	0	0	0	1	0.090986	0.152469	0.136136	0.183246	0.187089	0.143054	0	0	0	60S_Ribosome
P47963	54.262	2.04	19280.245306	0.163265	0.221521	51.476978	46.566707	0.04	0	0	2	0.034483	4	0	0.01005	0.061224	0.05914	0.361111	0.105263	0.466667	0.064103	0.002044	0.0625	51	1	0	0	0	0	0	1	0.075771	0.122402	0.112127	0.103741	0.36653	0.082532	0	0	0	60S_Ribosome
Q9D8E6	40.478	3.52	15738.151225	0.231008	0.190759	38.488925	44.559444	0.045455	0.166667	0	2	0.007519	2	0	0.007426	0.081633	0.069892	0.055556	0.068966	0.149533	0.128205	0.002315	0.0625	50	1	0	0	0	0	0	0	0.050232	0.089016	0.118913	0.130555	0.420762	0.126753	0	0	0	60S_Ribosome
P47911	103.476	3.028	17887.524184	0.146147	0.218573	49.359169	45.939781	0.217391	0	0	0	0.07483	4	0.005952	0.006944	0.005435	0.05914	0.166667	0.173913	0.376471	0.076923	0.003819	0.111111	40	1	0	0	0	0	0	1	0.078925	0.13774	0.136745	0.127605	0.294036	0.108172	0	0	0	60S_Ribosome
P06745	32.708	4.662	19117.132449	0.238847	0.283369	37.458205	37.111573	0.069767	0	0.010526	1	0.022388	8	0.034483	0.007233	0.041667	0.096774	0.166667	0.033333	0.180723	0.025641	0.000675	0.111111	60	1	0	0	0	0	1	0	0.056677	0.040774	0.020267	0.011012	0.007688	0.797197	0	0	0	Cytosol
Q07417	36.136	3.346	18764.952857	0.214658	0.259161	43.879478	37.127148	0.107143	0	0.021053	1	0.007634	6	0.005952	0.010076	0.040816	0.069892	0.083333	0.022727	0.301887	0.02193	0.000216	0.222222	53	0	0	0	0	0	0	0	0.027174	0.103633	0.467508	0.300451	0.062486	0.006528	1	0	0	Mitochondrion
Q99N89	41.52	3.223	17456.734796	0.228814	0.217125	41.712293	39.231326	0	0	0.010526	0	0.007634	5	0.017241	0.006061	0.061224	0.094444	0.083333	0	0.482759	0.032468	0	0.125	67	0	0	0	0	0	0	0	0.031744	0.084039	0.464798	0.307985	0.059396	0.01145	0	0	0	Mitochondrion
Q9Z2I9	38.156	4.691	17241.248061	0.26601	0.281039	41.613882	36.358386	0.117647	0	0.031579	0	0.028571	2	0	0.011236	0.061224	0.080645	0.083333	0	0.216667	0.008108	0.000593	0.222222	49	0	1	0	0	0	0	0	0.02807	0.102588	0.451611	0.27836	0.089976	0.008294	1	0	0	Mitochondrion
Q9Z2I8	37.788	5.402	17922.824898	0.259865	0.295448	43.491041	36.495753	0.115385	0	0.021053	1	0.021429	3	0.017241	0.009456	0.081633	0.05914	0.111111	0.018519	0.310345	0.025641	0.000232	0.222222	46	0	1	0	0	0	0	0	0.016308	0.094668	0.478241	0.28145	0.092247	0.021268	1	0	0	Mitochondrion
Q99N85	36.788	3.733	18047.17102	0.26232	0.251133	39.395449	42.051369	0.307692	0.125	0.010526	3	0.02027	3	0.002041	0.00565	0.142857	0.091398	0.055556	0	0.302326	0.064103	0.001374	0.222222	50	0	0	0	0	0	0	0	0.038484	0.141722	0.453162	0.309948	0.056684	0	0	0	0	Mitochondrion
Q7TMY8	68.388	5.682	20020.47898	0.15553	0.256246	36.227236	35.445371	0.006231	0.014286	0.021053	3	0.015152	11	0.003145	0.003428	0.081633	0.139785	0.166667	0.006579	0.028143	0.025641	0.000653	0	53	1	0	0	0	1	0	0	0.061207	0.052109	0.051547	0.029392	0.018265	0.683659	0	0	0	Cytosol
Q8K019	82.998	1.878	18540.700102	0.05542	0.131846	55.733162	42.216718	0	0	0	1	0.007576	3	0.017241	0.003275	0	0	0.277778	0	0.141667	0.076923	0.003284	0.25	74	0	0	0	0	0	0	0	0.05479	0.062839	0.077856	0.287645	0.179333	0.268572	0	0	0	Nucleus_-_Nucleolus
