UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
Q6PR54,RIF1_MOUSE,Telomere-associated protein RIF1 OS=Mus musculus GN=Rif1 PE=1 SV=2 - [RIF1_MOUSE],62,63,112,102,0.025,0.000,0.003,0.000,0.005,0.031,0.126,0.330,0.184,0.298,0.029,0.005,0.008,0.010,0.019,0.048,0.127,0.244,0.404,0.106,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,Pluripotency,Prey,,,
Q05793,PGBM_MOUSE,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1 - [PGBM_MOUSE],61,46,83,62,0.002,0.047,0.110,0.080,0.198,0.195,0.105,0.130,0.022,0.111,0.007,0.049,0.079,0.128,0.214,0.207,0.186,0.069,0.028,0.032,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,Extracellular matrix,Extracellular matrix,1.000,Extracellular matrix,Extracellular matrix,N,,,,,,,,,High Confidence
Q71LX4,TLN2_MOUSE,Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=3 - [TLN2_MOUSE],60,72,93,112,0.018,0.276,0.159,0.105,0.145,0.109,0.052,0.061,0.023,0.052,0.016,0.198,0.151,0.161,0.157,0.158,0.081,0.037,0.019,0.021,unknown,unknown,unknown,unknown,Plasma membrane,0.782,unclassified,Plasma membrane,N,,,,,,,,,
P19096,FAS_MOUSE,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2 - [FAS_MOUSE],57,63,96,93,0.454,0.152,0.133,0.064,0.084,0.048,0.021,0.019,0.007,0.018,0.363,0.124,0.123,0.108,0.118,0.069,0.040,0.015,0.014,0.026,unknown,Phenotype 5,Cytosol,Cytosol,Cytosol,1.000,Cytosol,Cytosol,N,,,,,,,,,High Confidence
Q9WTQ5,AKA12_MOUSE,A-kinase anchor protein 12 OS=Mus musculus GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE],56,58,114,134,0.159,0.186,0.130,0.075,0.095,0.082,0.099,0.094,0.000,0.079,0.132,0.130,0.129,0.111,0.112,0.106,0.139,0.099,0.006,0.037,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.163,unclassified,unclassified,N,,,,,,,,,
Q9JKF1,IQGA1_MOUSE,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2 - [IQGA1_MOUSE],56,61,110,124,0.076,0.328,0.166,0.115,0.152,0.093,0.032,0.018,0.004,0.016,0.078,0.208,0.160,0.160,0.167,0.120,0.059,0.019,0.009,0.021,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q8CG48,SMC2_MOUSE,Structural maintenance of chromosomes protein 2 OS=Mus musculus GN=Smc2 PE=1 SV=2 - [SMC2_MOUSE],56,49,106,87,0.082,0.041,0.033,0.018,0.035,0.055,0.102,0.248,0.118,0.269,0.067,0.043,0.050,0.052,0.058,0.078,0.115,0.165,0.177,0.195,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.235,unclassified,unclassified,N,,,,13S condensin complex,,,,,
Q9QZQ1-2,AFAD_MOUSE,Isoform 1 of Afadin OS=Mus musculus GN=Mllt4 - [AFAD_MOUSE],56,65,105,104,0.041,0.300,0.182,0.114,0.158,0.104,0.039,0.027,0.011,0.023,0.035,0.220,0.141,0.151,0.165,0.132,0.082,0.024,0.021,0.029,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q7TPV4,MBB1A_MOUSE,Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2 - [MBB1A_MOUSE],55,55,101,100,0.168,0.007,0.018,0.004,0.012,0.019,0.043,0.175,0.345,0.209,0.120,0.009,0.022,0.022,0.026,0.033,0.044,0.050,0.391,0.282,unknown,Phenotype 2,unknown,unknown,Nucleus - Non-chromatin,0.933,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
A2AGT5,CKAP5_MOUSE,Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=2 SV=1 - [CKAP5_MOUSE],55,53,96,79,0.032,0.040,0.025,0.017,0.029,0.052,0.108,0.322,0.093,0.283,0.044,0.072,0.074,0.071,0.067,0.093,0.110,0.209,0.172,0.088,unknown,unknown,unknown,unknown,Peroxisome,0.210,unclassified,unclassified,N,,,,,,,,,
Q6NS46,RRP5_MOUSE,Protein RRP5 homolog OS=Mus musculus GN=Pdcd11 PE=2 SV=2 - [RRP5_MOUSE],54,58,88,92,0.134,0.004,0.015,0.004,0.015,0.021,0.046,0.185,0.350,0.226,0.095,0.012,0.021,0.023,0.030,0.034,0.046,0.049,0.374,0.315,unknown,Phenotype 2,Nucleus - Non-chromatin,Nucleus - Non-chromatin,Nucleus - Non-chromatin,1.000,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,Putative
Q91ZU6-4,DYST_MOUSE,Isoform 4 of Dystonin OS=Mus musculus GN=Dst - [DYST_MOUSE],53,90,62,108,0.070,0.131,0.088,0.044,0.066,0.149,0.134,0.125,0.094,0.099,0.053,0.060,0.071,0.070,0.082,0.232,0.199,0.084,0.095,0.054,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.520,unclassified,unclassified,N,,,,,,,,,
Q61879,MYH10_MOUSE,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2 - [MYH10_MOUSE],52,62,88,104,0.061,0.079,0.055,0.033,0.054,0.158,0.180,0.168,0.068,0.145,0.065,0.058,0.062,0.062,0.080,0.235,0.241,0.105,0.059,0.031,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.570,unclassified,unclassified,N,,Myosin,,,,,,,
P54276,MSH6_MOUSE,DNA mismatch repair protein Msh6 OS=Mus musculus GN=Msh6 PE=1 SV=3 - [MSH6_MOUSE],51,47,106,89,0.149,0.006,0.015,0.003,0.009,0.027,0.106,0.306,0.101,0.278,0.231,0.017,0.033,0.025,0.031,0.056,0.109,0.192,0.194,0.112,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.460,unclassified,unclassified,N,,,,,,,Prey,,
Q9CU62,SMC1A_MOUSE,Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE],50,43,94,72,0.048,0.007,0.008,0.003,0.012,0.032,0.111,0.282,0.225,0.272,0.060,0.012,0.017,0.017,0.024,0.045,0.092,0.174,0.400,0.159,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,Cohesin complex,,Prey,,,
Q6P5E4,UGGG1_MOUSE,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus GN=Uggt1 PE=1 SV=4 - [UGGG1_MOUSE],49,53,88,90,0.027,0.058,0.062,0.048,0.146,0.253,0.139,0.150,0.000,0.118,0.027,0.049,0.090,0.126,0.190,0.264,0.151,0.078,0.007,0.019,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
O88307,SORL_MOUSE,Sortilin-related receptor OS=Mus musculus GN=Sorl1 PE=2 SV=3 - [SORL_MOUSE],49,45,79,56,0.000,0.026,0.102,0.130,0.449,0.182,0.052,0.036,0.000,0.023,0.003,0.032,0.064,0.159,0.362,0.239,0.090,0.034,0.008,0.009,unknown,unknown,unknown,unknown,Endosome,0.452,unclassified,unclassified,N,,,,,,,,,
P46735,MYO1B_MOUSE,Unconventional myosin-Ib OS=Mus musculus GN=Myo1b PE=2 SV=3 - [MYO1B_MOUSE],48,42,94,73,0.008,0.318,0.197,0.130,0.185,0.089,0.028,0.017,0.018,0.009,0.013,0.237,0.164,0.167,0.180,0.123,0.067,0.018,0.021,0.008,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.863,Plasma membrane,Plasma membrane,N,,Unconventional Myosin,,,,,,,
Q01320,TOP2A_MOUSE,DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2 - [TOP2A_MOUSE],48,53,92,113,0.011,0.001,0.004,0.001,0.007,0.027,0.106,0.324,0.220,0.299,0.020,0.005,0.007,0.008,0.014,0.044,0.121,0.221,0.471,0.090,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.901,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,Prey,
Q5XG71,UTP20_MOUSE,Small subunit processome component 20 homolog OS=Mus musculus GN=Utp20 PE=2 SV=2 - [UTP20_MOUSE],48,55,64,73,0.134,0.006,0.015,0.004,0.016,0.025,0.049,0.191,0.297,0.263,0.089,0.011,0.021,0.024,0.030,0.040,0.051,0.062,0.327,0.345,unknown,Phenotype 2,Nucleus - Non-chromatin,Nucleus - Non-chromatin,Nucleus - Non-chromatin,1.000,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q60767,LY75_MOUSE,Lymphocyte antigen 75 OS=Mus musculus GN=Ly75 PE=1 SV=2 - [LY75_MOUSE],47,51,86,83,0.000,0.131,0.138,0.118,0.338,0.157,0.058,0.036,0.000,0.024,0.003,0.102,0.107,0.159,0.265,0.217,0.101,0.033,0.007,0.007,unknown,unknown,unknown,unknown,Endosome,0.611,Endosome,Endosome,N,,,,,,,,,
Q9CW03,SMC3_MOUSE,Structural maintenance of chromosomes protein 3 OS=Mus musculus GN=Smc3 PE=1 SV=2 - [SMC3_MOUSE],47,44,77,71,0.054,0.017,0.018,0.009,0.019,0.039,0.091,0.274,0.200,0.280,0.060,0.032,0.034,0.034,0.044,0.062,0.112,0.135,0.301,0.186,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.782,unclassified,Nucleus - Chromatin,N,,,,Cohesin complex,,,Prey,,
P58252,EF2_MOUSE,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2 - [EF2_MOUSE],46,43,117,113,0.291,0.093,0.091,0.049,0.074,0.075,0.052,0.081,0.029,0.164,0.226,0.067,0.079,0.068,0.077,0.080,0.068,0.040,0.042,0.254,unknown,unknown,unknown,unknown,40S Ribosome,0.453,unclassified,unclassified,N,,,,,,,,,High Confidence
P16546;P16546-2,SPTN1_MOUSE,"Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4 - [SPTN1_MOUSE]|Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 - [SPTN1_MOUSE]",46,8,58,9,0.000,0.136,0.082,0.034,0.069,0.185,0.167,0.136,0.067,0.125,0.000,0.033,0.054,0.078,0.064,0.363,0.262,0.087,0.060,0.000,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.468,unclassified,unclassified,N,,,,,,,,,
P09405,NUCL_MOUSE,Nucleolin OS=Mus musculus GN=Ncl PE=1 SV=2 - [NUCL_MOUSE],45,54,116,166,0.402,0.017,0.042,0.008,0.015,0.025,0.040,0.075,0.297,0.077,0.373,0.019,0.045,0.023,0.027,0.044,0.054,0.041,0.256,0.117,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.550,unclassified,unclassified,N,,,,,,,,,Non-Specific
Q6ZQ38,CAND1_MOUSE,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE],45,39,93,69,0.216,0.129,0.092,0.064,0.093,0.070,0.055,0.127,0.042,0.111,0.204,0.142,0.124,0.113,0.117,0.082,0.050,0.043,0.064,0.061,unknown,unknown,unknown,unknown,Cytosol,0.217,unclassified,unclassified,N,,,,,,,,,
Q5FWI3,TMEM2_MOUSE,Transmembrane protein 2 OS=Mus musculus GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE],45,38,84,65,0.000,0.183,0.170,0.119,0.250,0.136,0.056,0.046,0.010,0.029,0.005,0.142,0.125,0.161,0.220,0.172,0.115,0.032,0.020,0.009,unknown,unknown,unknown,unknown,Plasma membrane,0.564,unclassified,unclassified,Y,,,,,,,,,Non-Specific
Q9Z0U1,ZO2_MOUSE,Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE],45,40,81,62,0.058,0.236,0.149,0.100,0.149,0.118,0.058,0.057,0.031,0.044,0.051,0.171,0.123,0.118,0.145,0.148,0.111,0.037,0.039,0.056,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.396,unclassified,unclassified,N,,,,,,,,,
P51432,PLCB3_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Mus musculus GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]",45,38,65,60,0.011,0.301,0.214,0.134,0.188,0.075,0.027,0.024,0.008,0.018,0.014,0.231,0.183,0.174,0.174,0.112,0.058,0.020,0.022,0.013,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.818,Plasma membrane,Plasma membrane,N,,,,,,,,,Putative
P26231,CTNA1_MOUSE,Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1 - [CTNA1_MOUSE],44,42,139,144,0.008,0.282,0.188,0.113,0.173,0.119,0.053,0.031,0.009,0.024,0.008,0.186,0.158,0.167,0.176,0.177,0.083,0.027,0.010,0.008,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,Adherens junction,,,,,
G5E870,TRIPC_MOUSE,E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1 - [TRIPC_MOUSE],44,50,67,71,0.167,0.088,0.078,0.036,0.058,0.043,0.057,0.163,0.146,0.164,0.145,0.079,0.071,0.067,0.074,0.065,0.075,0.072,0.248,0.104,unknown,unknown,unknown,unknown,60S Ribosome,0.203,unclassified,unclassified,N,,,,,,,,,
Q6P5D8,SMHD1_MOUSE,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2 - [SMHD1_MOUSE],44,36,52,44,0.052,0.006,0.008,0.000,0.011,0.028,0.072,0.315,0.214,0.295,0.055,0.010,0.016,0.014,0.023,0.050,0.097,0.204,0.372,0.160,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
P38647,GRP75_MOUSE,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]",43,44,114,146,0.000,0.013,0.013,0.011,0.031,0.095,0.288,0.280,0.017,0.253,0.002,0.011,0.014,0.019,0.030,0.103,0.367,0.294,0.021,0.138,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P02468,LAMC1_MOUSE,Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2 - [LAMC1_MOUSE],43,49,73,69,0.015,0.048,0.082,0.057,0.153,0.240,0.132,0.142,0.017,0.114,0.014,0.056,0.077,0.113,0.192,0.230,0.192,0.075,0.024,0.028,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,Extracellular matrix,Extracellular matrix,1.000,Extracellular matrix,Extracellular matrix,N,,,,,,,,,
Q9JIK5,DDX21_MOUSE,Nucleolar RNA helicase 2 OS=Mus musculus GN=Ddx21 PE=1 SV=3 - [DDX21_MOUSE],42,39,93,90,0.154,0.006,0.017,0.005,0.013,0.021,0.056,0.168,0.398,0.164,0.095,0.011,0.022,0.023,0.031,0.036,0.053,0.054,0.434,0.241,unknown,Phenotype 2,Nucleus - Non-chromatin,Nucleus - Non-chromatin,Nucleus - Non-chromatin,1.000,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q64727,VINC_MOUSE,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4 - [VINC_MOUSE],42,42,72,61,0.297,0.225,0.157,0.082,0.108,0.063,0.026,0.019,0.009,0.015,0.273,0.145,0.137,0.121,0.139,0.092,0.051,0.016,0.014,0.012,unknown,unknown,unknown,unknown,Cytosol,0.363,unclassified,unclassified,N,,,,,,,,,High Confidence
O08784,TCOF_MOUSE,Treacle protein OS=Mus musculus GN=Tcof1 PE=1 SV=1 - [TCOF_MOUSE],42,41,71,62,0.239,0.022,0.041,0.012,0.024,0.043,0.079,0.192,0.179,0.169,0.202,0.028,0.075,0.050,0.062,0.053,0.084,0.086,0.258,0.102,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.270,unclassified,unclassified,N,,,,,,,,,
Q922D8,C1TC_MOUSE,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]",41,33,93,83,0.151,0.127,0.109,0.053,0.091,0.107,0.062,0.097,0.025,0.177,0.113,0.070,0.086,0.082,0.088,0.115,0.085,0.054,0.031,0.276,unknown,unknown,unknown,unknown,60S Ribosome,0.673,60S Ribosome,60S Ribosome,N,,,,,,,,,
O70318,E41L2_MOUSE,Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE],41,42,77,83,0.012,0.299,0.185,0.126,0.176,0.113,0.044,0.026,0.007,0.013,0.007,0.242,0.169,0.167,0.186,0.131,0.069,0.018,0.006,0.006,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.873,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q9EP71,RAI14_MOUSE,Ankycorbin OS=Mus musculus GN=Rai14 PE=1 SV=1 - [RAI14_MOUSE],41,48,63,70,0.015,0.178,0.103,0.061,0.093,0.124,0.106,0.153,0.041,0.124,0.016,0.114,0.105,0.103,0.109,0.185,0.150,0.101,0.076,0.042,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.385,unclassified,unclassified,N,,,,,,,,,
P20029,GRP78_MOUSE,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE],40,41,125,156,0.019,0.054,0.070,0.050,0.129,0.287,0.140,0.136,0.010,0.107,0.020,0.047,0.085,0.124,0.183,0.267,0.161,0.080,0.014,0.019,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q62351,TFR1_MOUSE,Transferrin receptor protein 1 OS=Mus musculus GN=Tfrc PE=1 SV=1 - [TFR1_MOUSE],40,31,99,104,0.000,0.076,0.118,0.121,0.407,0.158,0.056,0.036,0.003,0.026,0.003,0.067,0.093,0.163,0.295,0.233,0.096,0.034,0.007,0.010,unknown,unknown,unknown,unknown,Endosome,0.615,Endosome,Endosome,N,,,,,,,,,
