Lead gene name,Lead ID,Protein names,Majority protein IDs,Organellar markers,Profiled in how many +EGF Maps,Log2 Ratio H/L EGF1_03K,Log2 Ratio H/L EGF1_06K,Log2 Ratio H/L EGF1_12K,Log2 Ratio H/L EGF1_24K,Log2 Ratio H/L EGF1_80K,Log2 Ratio H/L EGF2_03K,Log2 Ratio H/L EGF2_06K,Log2 Ratio H/L EGF2_12K,Log2 Ratio H/L EGF2_24K,Log2 Ratio H/L EGF2_80K,Log2 Ratio H/L EGF3_03K,Log2 Ratio H/L EGF3_06K,Log2 Ratio H/L EGF3_12K,Log2 Ratio H/L EGF3_24K,Log2 Ratio H/L EGF3_80K
ABCE1,P61221,ATP-binding cassette sub-family E member 1,P61221,,3,1.746312766,1.399444565,-0.053433815,-0.808715303,-1.09967995,1.847435749,1.232906301,0.100843124,-0.853475109,-1.207894294,1.634128558,1.117030053,-0.096437209,-0.946833043,-1.53094759
ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1,Q8NE71;Q8NE71-2,,3,1.585587533,1.791230625,0.736215198,-0.13714001,-1.40129179,1.65558081,1.85259817,0.787850334,-0.290180032,-1.591527249,1.663253523,1.718131434,0.935459748,-0.163978941,-1.602437964
ABCF2,Q9UG63,ATP-binding cassette sub-family F member 2,Q9UG63;Q9UG63-2,,3,2.101112158,1.7031007,0.259423152,-0.625756182,-1.205862822,2.046176713,1.570268616,0.221815228,-0.762485229,-1.370377599,2.007554336,1.389236386,0.157561176,-0.768665905,-1.747196832
ABCF3,Q9NUQ8,ATP-binding cassette sub-family F member 3,Q9NUQ8;Q9NUQ8-2,,3,0.764516014,0.896233092,-0.278461096,-0.994671879,-0.711251653,1.202010167,1.062674363,-0.196806034,-1.037354739,-0.819521108,1.20739313,0.588996402,-0.387373852,-1.055861208,-1.0395476
ABCG2,Q9UNQ0,ATP-binding cassette sub-family G member 2,Q9UNQ0;Q9UNQ0-2,,3,-0.666209914,-0.472208998,-0.302048301,0.935987696,3.082242734,-0.273604708,-0.21260097,0.242572021,1.352250046,3.365132593,-0.277603926,-0.403580027,-0.065340085,1.153027043,2.930245318
ABHD10,Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",Q9NUJ1,,3,-1.156112607,-0.660201294,2.808755717,7.479537774,4.484267053,-1.149120585,-0.669189222,3.320787915,4.777577522,2.886237969,-0.830870303,-0.435046332,3.456543339,3.962363932,5.782592036
ABHD12,Q8N2K0,Monoacylglycerol lipase ABHD12,Q8N2K0;Q8N2K0-2;Q8N2K0-3,,1,,,,,,,,,,,0.300065137,-0.663373834,-0.534537424,1.227925867,1.189539944
ABHD16A,O95870,Abhydrolase domain-containing protein 16A,O95870;O95870-2,,3,-0.152355795,-0.579469091,-0.430820035,1.149259365,3.468322644,-0.028013245,-0.667767554,-0.130254909,1.346020784,2.44800229,0.44498504,-0.506865078,-0.246840492,1.347495584,2.648465443
ABHD17B,Q5VST6,Alpha/beta hydrolase domain-containing protein 17B,Q5VST6;Q5VST6-2,,1,,,,,,0.583037624,-0.451977747,-0.813220565,0.579759427,1.147046143,,,,,
ABI1,Q8IZP0,Abl interactor 1,Q8IZP0;Q8IZP0-3;Q8IZP0-2;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-12,,3,0.460165895,0.576377015,0.141694362,-0.691312945,-0.542059062,0.627326676,0.651407656,-0.02791028,-0.649004968,-0.865489893,0.484911487,0.398678716,0.054779032,-0.600008649,-0.694671468
ABLIM1,O14639,Actin-binding LIM protein 1,O14639;O14639-2;O14639-5;O14639-4;O14639-3;O14639-6,Actin binding proteins,2,,,,,,-0.982562634,0.350610395,-0.181214869,0.010493419,-1.200348992,-1.04826302,-0.558686509,1.44312921,0.79243893,0.55885537
ACAA1,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",P09110;P09110-2,Peroxisome,3,0.521452826,-0.723300865,-0.778258999,0.828550347,2.75896403,0.445514838,-0.715462177,-0.552621816,1.332679294,3.36960607,0.959844328,-0.712220404,-0.69240827,1.048375705,3.298203736
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",P42765,,3,-1.204931299,-0.727522867,2.631500125,4.891370578,4.754620312,-1.102031633,-0.737494679,3.094523229,4.843531675,4.948694283,-0.811675042,-0.402874101,3.386397112,5.071977136,5.412307322
ACACA,Q13085,Acetyl-CoA carboxylase 1,Q13085;Q13085-4;Q13085-2;Q13085-3,,3,-0.982078092,-0.722634108,-0.602832292,-0.346041159,-0.234923594,-0.806417475,-0.519838301,-0.375983353,-0.478225584,-0.157029211,-0.676664521,-0.379601269,0.0824301,-0.58264163,-0.544203302
ACAD9,Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",Q9H845,,3,-1.196872178,-0.771716937,2.686209157,4.843330666,4.538103551,-1.190075249,-0.749620471,3.163627539,4.920769673,4.414879696,-0.872604438,-0.413941467,3.439623138,4.924954985,4.566084491
ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",P11310;P11310-2,Mitochondrion,3,-1.270799653,-0.734659127,2.81077212,5.269033146,3.403131355,-1.152099276,-0.791907308,3.147730001,5.867674114,5.966638107,-0.87228749,-0.451050508,3.312781328,5.295980101,5.23809897
ACADSB,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",P45954;P45954-2,Mitochondrion,1,,,,,,,,,,,-0.874877939,-0.505615113,2.268464337,4.039927974,3.931304844
ACADVL,P49748-3,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",P49748-3;P49748;P49748-2,,3,-1.196409235,-0.696049791,2.678184611,4.649672936,4.553421946,-1.143659635,-0.683923787,2.996045207,4.707248682,4.830103176,-0.890519082,-0.423874567,3.22060856,4.945279951,4.794259891
ACAP2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Q15057,,1,-0.285864406,0.358621314,-0.452688376,-0.844483897,-0.487884386,,,,,,,,,,
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",P24752,Mitochondrion,3,-1.16339717,-0.736292494,2.640852259,4.816855662,5.343798647,-1.083080105,-0.692967906,3.057779498,5.10152402,5.28277338,-0.827154095,-0.406273352,3.297528935,4.948413958,5.255425197
ACAT2,Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",Q9BWD1;Q9BWD1-2,,2,,,,,,-1.581648112,-1.146052244,-1.478506971,-1.423990696,-0.91672535,-1.279704021,-0.611314493,-1.132925909,-1.629858044,-0.578650113
ACBD5,Q5T8D3-3,Acyl-CoA-binding domain-containing protein 5,Q5T8D3-3;Q5T8D3-2;Q5T8D3-4,Peroxisome,3,0.402722177,-0.754869469,-0.845676035,1.339365461,2.680819425,0.364012054,-0.799043737,-0.484045387,1.394788497,2.936458916,0.879470525,-0.581993606,-0.552473699,1.301704696,2.127501219
ACIN1,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,Q9UKV3;Q9UKV3-3;Q9UKV3-2,,3,0.572016513,2.307370233,-0.044642555,-1.456563508,-2.112162829,0.859731067,2.59115279,0.69483563,-0.909092385,-1.56452075,0.99486932,2.599722453,0.424384672,-1.111757459,-1.846013123
ACLY,P53396,ATP-citrate synthase,P53396,,3,0.20576784,0.468843943,-0.36126812,-1.168868614,-1.721372876,0.286171451,0.493544866,-0.354353671,-1.258494183,-1.701294768,0.325040955,0.5383395,-0.254237756,-1.315235112,-1.780760218
ACO1,P21399,Cytoplasmic aconitate hydratase,P21399,,2,-0.24771383,-0.276240502,-0.968491877,-1.080911672,-1.095912878,-0.990108247,-0.434110416,0.11209958,-1.434753793,-0.877102033,,,,,
ACO2,Q99798,"Aconitate hydratase, mitochondrial",Q99798,,3,-1.235076407,-0.7825211,2.835115615,5.399410384,5.772255182,-1.167344886,-0.76375844,3.035359978,5.269669049,4.984452639,-0.837325901,-0.383247098,3.461790463,5.156153882,5.562150822
ACOT13,Q9NPJ3,Acyl-coenzyme A thioesterase 13,Q9NPJ3;Q9NPJ3-2,Mitochondrion,3,-1.035313042,-0.626045605,1.835156049,2.077448107,2.209952374,-0.949143114,-0.550655211,2.110897723,1.992007009,2.048445459,-0.66490554,-0.27888112,2.373648211,2.416299305,2.294106065
ACOT2,P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial",P49753;P49753-2,,3,-1.277464028,-0.786148835,2.671655699,3.853197255,4.586344421,-1.109234257,-0.640523809,2.985081405,3.587964989,4.27686883,-0.926124938,-0.554697058,3.146541183,4.157367148,6.475765851
ACOT7,O00154-4,Cytosolic acyl coenzyme A thioester hydrolase,O00154-4;O00154;O00154-6;O00154-7;O00154-5;O00154-2;O00154-3,,1,-1.571192975,-0.873159265,-1.136473807,-1.511772942,-0.614027881,,,,,,,,,,
ACOT9,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",Q9Y305;Q9Y305-2;Q9Y305-4;Q9Y305-3,,3,-1.139458256,-0.708019316,2.692828883,3.885574364,2.709731759,-1.128408648,-0.676941275,2.889454073,3.590362488,3.503221508,-0.870571896,-0.482290933,3.017601273,4.183486514,3.659239572
ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,Q15067,Peroxisome,3,0.488823464,-0.784880575,-0.784358675,0.999567127,3.817111573,0.564622052,-0.789262038,-0.552600656,1.307428525,3.717758665,0.711583007,-0.703266561,-0.678071905,1.028356976,3.4978678
ACP1,P24666,Low molecular weight phosphotyrosine protein phosphatase,P24666;P24666-4;P24666-3,,1,,,,,,-0.814412508,-0.569586255,-0.020955115,-0.445362036,-0.129292034,,,,,
ACP2,P11117,Lysosomal acid phosphatase,P11117,Lysosome,3,0.80182086,-0.852823573,-0.93746378,0.89227444,2.586692697,1.202699807,-0.852042119,-0.866752139,1.018278085,2.742696124,1.136847604,-0.740890249,-0.712764135,1.082634472,2.44615034
ACSF2,Q96CM8,"Acyl-CoA synthetase family member 2, mitochondrial",Q96CM8;Q96CM8-3;Q96CM8-2;Q96CM8-4,,2,-1.143372788,-0.772751816,2.658074349,3.814960513,1.956948765,,,,,,-0.793081765,-0.384583703,3.099379373,4.212569339,3.169524197
ACSF3,Q4G176,"Acyl-CoA synthetase family member 3, mitochondrial",Q4G176,,3,-1.265032479,-0.720493046,2.682483407,4.812857571,3.511973982,-1.143022275,-0.734467088,3.096683533,3.096278723,3.151404251,-0.892633509,-0.473029786,3.445859103,3.096244983,6.394479844
ACSL3,O95573,Long-chain-fatty-acid--CoA ligase 3,O95573,,3,0.251931127,-0.750008632,-0.742241065,0.951587795,3.036679154,0.404467197,-0.664699694,-0.518597717,1.168642036,3.070062967,0.575312331,-0.618871705,-0.599789993,1.127963378,3.030618586
ACSL4,O60488,Long-chain-fatty-acid--CoA ligase 4,O60488;O60488-2,,3,-0.679342036,-0.570700057,0.564622052,1.482745045,1.706508451,-0.610212946,-0.61393956,0.747086583,1.378345149,1.706729455,-0.563028005,-0.579900319,0.50019018,1.142740172,1.42867841
ACTA1,P68133,"Actin, alpha skeletal muscle",P68133;P68032;P62736;P63267;P63267-2,,3,-0.968633037,-0.648846617,-0.103255404,1.309583671,2.071316477,-0.588204992,-0.378156764,0.291603558,1.166458372,2.538935409,-0.678741471,-0.607199012,0.111432005,1.020271053,2.436081865
ACTB,P60709,"Actin, cytoplasmic 1",P60709,Actin binding proteins,3,-0.702209909,-0.703665943,0.026587622,1.45906434,2.113767166,-0.465241131,-0.498219489,0.205267382,1.075601085,2.601506363,-0.702491607,-0.735643729,0.114900024,1.113233748,2.444402036
ACTG1,P63261,"Actin, cytoplasmic 2",P63261,Actin binding proteins,3,-0.920570685,-0.691126589,-0.139267575,1.311328726,2.047608184,-0.609002216,-0.432843996,0.266876472,1.135337857,2.523587046,-0.753409497,-0.740986694,0.038436182,0.987975661,2.405148272
ACTL6A,O96019,Actin-like protein 6A,O96019;O96019-2,,2,-1.915554696,0.145873062,0.06502077,-0.118758268,0.044464067,-1.444419406,0.631430278,0.08827731,-0.23655443,0.247319935,,,,,
ACTN1,P12814,Alpha-actinin-1,P12814;P12814-3;P12814-2;P12814-4,Actin binding proteins,3,-1.340769563,-0.72616189,0.274052884,1.578842128,2.265586919,-0.996426546,-0.375103678,0.725872007,1.444083935,2.560030123,-0.932498951,-0.662003536,0.501719377,1.432478429,2.832991252
ACTN4,O43707,Alpha-actinin-4,O43707;O43707-2;O43707-3,Actin binding proteins,3,-1.470608803,-0.785154027,0.183327706,1.464459166,2.498786991,-1.081064272,-0.412615805,0.705756782,1.644133161,2.719950045,-0.990108247,-0.64816817,0.606347467,1.673194574,3.123682749
ACTR10,Q9NZ32,Actin-related protein 10,Q9NZ32,,1,,,,,,0.430606431,0.170950553,-0.422037096,-0.458306755,-0.169225464,,,,,
ACTR1A,P61163,Alpha-centractin,P61163,,3,0.127897364,0.190172345,-0.373028274,-0.462833172,-0.548184896,0.28936234,0.265196827,-0.280720164,-0.596514117,-0.649548015,0.352306553,0.180911663,-0.288646066,-0.566869617,-0.759380371
ACTR1B,P42025,Beta-centractin,P42025,,3,0.255802837,0.174534255,-0.314409638,-0.525164237,-0.48360153,0.293135019,0.257252053,-0.265032479,-0.74407634,-0.604454554,0.313013609,0.073546061,-0.272977018,-0.603336314,-1.064615689
ACTR2,P61160,Actin-related protein 2,P61160;P61160-2,,3,-0.201178042,0.130799111,-0.185999279,-0.397353091,-0.339162632,-0.016555782,0.180657108,0.066537002,-0.323858991,-0.249770832,-0.15752796,-0.293871756,-0.077071473,-0.333170707,-0.50971741
ACTR3,P61158,Actin-related protein 3,P61158,,3,-0.13238815,0.025454096,-0.16226662,-0.454090921,-0.259391875,0.118359726,0.27643711,0.121413331,-0.311040863,-0.282122916,-0.167118085,-0.188150877,-0.05872839,-0.352418392,-0.510046099
ADAM10,O14672,Disintegrin and metalloproteinase domain-containing protein 10,O14672;O14672-2,,3,0.027578727,-0.603402068,-0.927221899,0.924403979,1.677260161,0.205892928,-0.821278986,-0.42329406,1.149779631,2.574803909,-0.010337793,-1.051249658,-1.065883621,0.54428754,1.717824454
ADAM15,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,Q13444;Q13444-2;Q13444-12;Q13444-5;Q13444-4;Q13444-3;Q13444-9;Q13444-8;Q13444-7;Q13444-6;Q13444-10;Q13444-11;Q13444-13,,3,0.123533772,-0.680197117,-0.809397781,0.856149102,2.508834274,0.191562651,-0.663785177,-0.51692462,1.008056555,2.729726775,0.128293401,-0.640119044,-0.80070143,0.709731759,2.209078996
ADAM17,P78536,Disintegrin and metalloproteinase domain-containing protein 17,P78536;P78536-2,Plasma membrane,2,-0.466636002,-0.558197845,-0.669166281,0.684010782,1.298013064,0.113967146,-0.561685854,-0.415229871,0.952706308,0.363114995,,,,,
ADAM9,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,Q13443;Q13443-2,Plasma membrane,3,-0.046339913,-0.360878996,-0.644758156,0.240008965,1.246286464,0.143524033,-0.290603482,-0.430061781,0.262312878,1.288417627,0.060877473,-0.49701771,-0.658629023,-0.0766302,1.104940452
ADAR,P55265,Double-stranded RNA-specific adenosine deaminase,P55265;P55265-4;P55265-5,,3,0.276675317,1.618708512,-0.272907291,-1.323949283,-1.409891458,0.663572335,1.87903915,0.010206943,-1.071936727,-1.106591189,0.276556218,1.380064459,-0.253773239,-1.332571064,-1.573295123
ADD1,P35611,Alpha-adducin,P35611;P35611-2;P35611-6;P35611-3;P35611-4;P35611-5,,3,-0.588660536,0.192194165,0.720716243,-0.007449077,-0.287958955,-0.556478215,0.085696581,0.116630912,-0.293765642,-0.673692765,-0.60127751,-0.135696958,0.245860702,0.240497517,-0.134255348
ADD3,Q9UEY8,Gamma-adducin,Q9UEY8;Q9UEY8-2,,2,,,,,,-0.296686634,0.127765328,0.396488333,-0.14058697,-0.304986127,-0.324382764,-0.13976022,0.344033092,-0.187871481,-0.39948284
ADH5,P11766,Alcohol dehydrogenase class-3,P11766,,3,-1.35199482,-1.129386714,-1.484711428,-1.145030912,-1.201410261,-1.33253473,-0.820259665,-1.592223069,-1.595881638,-0.816901009,-1.115816291,-0.807856346,-1.220748686,-1.637692836,-0.908415248
ADPGK,Q9BRR6,ADP-dependent glucokinase,Q9BRR6;Q9BRR6-2,,3,0.169283661,-0.74702733,-0.804954832,1.014141015,2.921607707,0.335368915,-0.645886408,-0.508896017,1.202010167,3.207580546,0.655077003,-0.619647341,-0.678741471,1.423524388,3.352476059
ADRM1,Q16186,Proteasomal ubiquitin receptor ADRM1,Q16186,,3,0.466339988,0.767231037,0.515005916,0.278698482,-1.438307279,0.403813062,0.911499849,0.373620373,-0.045267665,-1.180593405,0.69937395,0.940805718,0.434988439,0.03562391,-1.40113937
ADSL,P30566,Adenylosuccinate lyase,P30566;P30566-2,,2,,,,,,-0.820463472,-0.708420016,-0.982990306,-0.780190252,-0.842516432,-0.315127415,-0.430664463,-0.737109871,-1.357122867,-0.705405716
ADSS,P30520,Adenylosuccinate synthetase isozyme 2,P30520,,1,,,,,,-1.509142386,-1.114878623,-1.50508267,-1.47052884,-0.552325597,,,,,
AFAP1,Q8N556,Actin filament-associated protein 1,Q8N556;Q8N556-2,,3,-0.771716937,0.297719672,0.349025513,-0.119228288,-0.355811452,-0.628630721,0.545474211,0.545375359,-0.116551223,-0.239702396,-0.708915151,-0.117333476,0.569588305,0.14208663,-0.201576155
AFG3L2,Q9Y4W6,AFG3-like protein 2,Q9Y4W6,,3,-1.245232193,-0.770239825,2.671859468,2.268344559,1.674279851,-1.177849085,-0.737951773,2.951419943,0.481298942,3.206705731,-0.87863972,-0.339454668,3.170437869,1.965359493,0.66402766
AGFG1,P52594,Arf-GAP domain and FG repeat-containing protein 1,P52594;P52594-2;P52594-3;P52594-4,,3,-0.805232116,-0.354833284,-0.388449877,0.262433158,1.348402405,-0.48055874,0.001297842,0.257855464,0.708496273,1.261530815,-0.32814506,-0.217071488,0.10701825,0.881038076,1.562669826
AGK,Q53H12,"Acylglycerol kinase, mitochondrial",Q53H12,,3,-1.214675443,-0.713946866,3.315682151,-1.325575507,1.781527581,-1.054991672,-0.751975298,3.111916028,3.718087584,1.767739536,-0.769059224,-0.516903977,3.020839967,1.204453768,2.165236648
AGL,P35573,Glycogen debranching enzyme,P35573;P35573-2;P35573-3,Large Protein Complex,3,2.58760502,1.716727565,-0.60526637,-1.674889946,-1.096807439,2.684123025,1.735392199,-0.517998484,-1.636526115,-0.990595494,3.060773738,1.89929166,-0.366094557,-1.369109984,-0.814463251
AGO1,Q9UL18,Protein argonaute-1,Q9UL18,,1,,,,,,1.97272941,1.639926713,-0.43301928,-1.152131339,-0.996512896,,,,,
AGO2,Q9UKV8,Protein argonaute-2,Q9UKV8;Q9UKV8-2,,3,1.796473164,1.259121806,-0.398436588,-1.108798595,-0.949672446,1.983568257,1.287767778,-0.260359246,-1.131123627,-0.964939203,0.40740714,1.218409211,-0.179138919,-1.070724072,-0.983674845
AGPAT5,Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,Q9NUQ2,,1,,,,,,-0.861002094,-0.729004687,1.133826527,-0.866015695,-0.939537512,,,,,
AGPAT6,Q86UL3,Glycerol-3-phosphate acyltransferase 4,Q86UL3,,1,0.539828811,-0.867646899,-0.72876558,0.99646106,2.74607624,,,,,,,,,,
AGPS,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",O00116,Peroxisome,3,0.529271244,-0.749814538,-0.837583695,0.996171784,3.560103513,0.603311811,-0.733219455,-0.512410752,1.382003156,3.733896605,0.881821213,-0.568280775,-0.629121525,1.037803898,3.687844549
AGR2,O95994,Anterior gradient protein 2 homolog,O95994,,2,,,,,,0.006764782,-0.834544652,-0.343055217,1.242206149,2.165204483,0.438612232,-0.795658923,-0.704512057,1.234010733,3.502203284
AGRN,O00468-6,Agrin,O00468-6;O00468-3;O00468-7;O00468;O00468-5;O00468-4;O00468-2,,3,0.091395186,-0.778654943,-0.740432224,0.467696836,1.234072066,0.138159145,-0.707006279,-0.41029403,0.44763209,1.049630768,-0.169111911,-1.019287343,-0.969678048,0.011209361,0.749062231
AGTRAP,Q6RW13,Type-1 angiotensin II receptor-associated protein,Q6RW13,,1,1.280124892,0.211136827,-0.492078535,-0.159653596,-0.645931556,,,,,,,,,,
AHCY,P23526,Adenosylhomocysteinase,P23526;P23526-2,,3,-1.220210793,-0.81685018,-1.436158521,-1.519197199,-0.923167304,-1.603445907,-0.962519376,-1.631734517,-1.686870265,-0.821865421,-1.053224232,-0.593506867,-1.012984807,-1.660953856,-0.512554812
AHCYL1,O43865,Putative adenosylhomocysteinase 2,O43865;O43865-2,,3,-0.833515919,-0.78833983,-0.986016142,-0.235976632,-0.030147747,-0.792232062,-0.750081423,-1.01444128,-0.520086545,0.008056555,-0.681607952,-0.878878474,-1.119761162,-0.687497458,0.150039693
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Q09666,,3,-0.425075022,0.047398789,-0.227860969,-0.314140564,0.427069755,-0.166211239,0.269870983,0.119555385,-0.082927292,0.538438835,-0.242652397,-0.138806866,-0.12429856,-0.07187607,0.523060062
AHNAK2,Q8IVF2,Protein AHNAK2,Q8IVF2;Q8IVF2-3,,3,0.320311371,0.37784561,-0.48158572,-0.86533219,-0.521929028,0.510860674,0.502737941,-0.345491135,-0.978321294,-0.660566123,0.302991616,0.046141782,-0.673485662,-1.003813751,-0.790459295
AHSA1,O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,O95433;O95433-2,,3,-1.871970611,-0.589919451,-0.646202476,-0.841688828,-0.164949081,-1.416615709,-0.625778444,-0.58660089,-0.626602351,-0.098181207,-0.82669344,-0.371291718,-0.33595413,-0.442085122,0.285106251
AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",O95831;O95831-3;O95831-2;O95831-5,,3,-1.305538751,-0.723682007,2.885750054,4.645528746,5.313354703,-1.23005904,-0.676042019,3.311154315,4.963797769,5.537979353,-0.848219099,-0.32041406,3.537668808,4.837993685,4.577489254
AIFM2,Q9BRQ8,Apoptosis-inducing factor 2,Q9BRQ8;Q9BRQ8-2,,3,-0.675419785,-0.33772157,0.523060062,1.215119425,1.563841479,-0.843266859,-0.506168242,0.739675315,1.136847604,1.413377445,-0.70470015,-0.487965317,0.639232163,0.973941836,1.283151339
AIMP1,Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,Q12904;Q12904-2,Large Protein Complex,3,0.656450606,-0.355017793,-0.247302781,1.26092894,-0.216752903,0.639510023,-0.371851669,-0.023387076,1.354000719,-0.150336942,0.901030988,-0.189894216,-0.153109584,1.134943749,-0.067318936
AIMP2,Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,Q13155,Large Protein Complex,3,0.718613699,-0.282122916,-0.206911504,1.189539944,-0.296668913,0.743902679,-0.323768705,0.050745464,1.175875851,-0.402721513,0.970043751,-0.106948497,-0.098011344,1.045792419,-0.255735551
AK1,P00568,Adenylate kinase isoenzyme 1,P00568,,1,,,,,,,,,,,-0.729554781,-0.286480134,-0.794882789,-1.43000347,-0.412827061
AK2,P54819,"Adenylate kinase 2, mitochondrial",P54819;P54819-2;P54819-3;P54819-5;P54819-6;P54819-4,Mitochondrion,3,-1.734803173,-0.731206325,2.064951812,2.621829173,3.097425392,-1.414845153,-0.575400338,2.561985922,3.02268739,3.399034339,-0.353689854,0.529271244,3.52619404,3.636682617,4.304291993
