,"Protein.Description","Peptides","PSMs","X113","X114","X115","X116","X117","X118","X119","X121","n113","n114","n115","n116","n117","n118","n119","n121","GOannotation","Training"
"sp|Q80U72|SCRIB_MOUSE","Protein scribble homolog (multiple isoforms)",15,15,49211.1637,26525.93028,5807.878132,19782.31976,15574.5668,12239.08023,4584.486417,7301.305142,0.3489491924,0.1880915071,0.0411828177,0.1402735474,0.1104369842,0.0867855348,0.0325079253,0.0517724911,"PLM","PLM"
"sp|Q8BHN3|GANAB_MOUSE","Neutral alpha-glucosidase AB (multiple isoforms)",15,15,67026.20445,89002.62681,32225.1068,181578.3054,152026.8255,115584.4566,29545.46871,16929.07959,0.0980032653,0.1301363865,0.0471183728,0.2654971587,0.2222880654,0.1690033661,0.043200304,0.0247530812,"ERT-GOL-MEL",
"sp|P27773|PDIA3_MOUSE","Protein disulfide-isomerase A3",14,14,266206.3455,576299.4667,135405.0543,1436228.954,1065065.595,922502.574,176509.2208,89063.0811,0.0570367171,0.1234765068,0.029011554,0.3077228845,0.2281983358,0.1976531334,0.0378184317,0.0190824368,"ERT-MEL","ERT"
"sp|Q3U7R1|ESYT1_MOUSE","Extended synaptotagmin-1 (multiple isoforms)",14,14,50561.23276,54426.95192,30307.92054,82283.89997,61607.16765,47116.53962,19880.96633,20425.25887,0.1379156088,0.1484601107,0.0826707556,0.2244453615,0.1680455474,0.1285195375,0.0542292074,0.0557138713,"null",
"sp|Q922D8|C1TC_MOUSE","C-1-tetrahydrofolate synthase, cytoplasmic",14,14,40194.10179,47834.1215,19437.65879,69719.35572,60954.4694,58425.20817,166881.5155,58286.17908,0.0770396579,0.091683212,0.0372559783,0.1336304352,0.1168308598,0.1119830485,0.3198602355,0.1117165728,"CYT",
"sp|Q9CPY7|AMPL_MOUSE","Cytosol aminopeptidase (multiple isoforms)",14,14,34867.97657,37660.86652,10150.84547,71463.83133,231661.6996,158763.436,40896.64088,186218.488,0.0451842805,0.048803496,0.0131541516,0.0926076623,0.3002028866,0.20573639,0.0529966311,0.2413145018,"CYT",
"tr|Q99K87|Q99K87_MOUSE","Serine hydroxymethyltransferase",14,14,61521.10458,68942.13912,21048.59629,267514.773,1063526.556,618277.9744,134210.6289,17372.9621,0.0273134,0.0306081016,0.0093449026,0.118767991,0.4721717274,0.274495618,0.0595852206,0.0077130387,"MIT",
"sp|P08249|MDHM_MOUSE","Malate dehydrogenase, mitochondrial",13,13,49025.41751,50042.60953,29014.7345,228712.7779,1033189.402,559352.3883,172805.9598,12487.90004,0.0229666922,0.0234432111,0.0135923876,0.1071439315,0.4840130731,0.2620370165,0.0809535439,0.0058501441,"MIT",
"sp|P27659|RL3_MOUSE","60S ribosomal protein L3",13,13,131891.9959,151843.0914,35655.42109,336356.7831,294135.0036,309625.7898,370499.69,253369.6246,0.0700295097,0.0806227639,0.018931639,0.1785923433,0.1561742239,0.1643992276,0.1967208962,0.1345293963,"RIB",
"sp|Q02248|CTNB1_MOUSE","Catenin beta-1",13,13,583826.5773,311830.4823,81991.26389,220136.5453,129933.7799,79369.33325,28212.26334,16906.08021,0.4020272926,0.2147287729,0.0564597898,0.1515876508,0.0894733604,0.054654309,0.0194271729,0.0116416517,"PLM-SKE",
"sp|Q3V3R1|C1TM_MOUSE","Monofunctional C1-tetrahydrofolate synthase, mitochondrial",13,13,21603.88525,23042.22497,8445.54995,69501.91058,280770.5903,165633.6676,37240.57064,8740.410477,0.0351294791,0.0374683235,0.0137330747,0.1130151307,0.456553276,0.2693323168,0.0605558599,0.0142125393,"MIT",
"sp|Q9D8E6|RL4_MOUSE","60S ribosomal protein L4",13,13,228384.3168,222192.0528,94011.10391,371402.9312,369946.1572,333212.2235,737938.4971,273115.9248,0.0868314342,0.0844771431,0.0357429052,0.1412069342,0.1406530705,0.1266868744,0.2805633021,0.1038383362,"null","RIB"
"sp|O35129|PHB2_MOUSE","Prohibitin-2",12,12,29995.92012,29391.80837,10899.7275,90362.05833,338027.3832,200966.6533,50369.51954,12765.06324,0.0393245674,0.0385325786,0.0142895123,0.1184644058,0.4431529541,0.2634667205,0.0660342993,0.0167349622,"MIT-NUC",
"sp|P05064|ALDOA_MOUSE","Fructose-bisphosphate aldolase A",12,12,404518.9735,342962.2203,54992.91454,251274.1034,130180.385,102182.8607,41622.23763,2251537.112,0.1130171466,0.0958190198,0.0153642788,0.0702025963,0.0363706442,0.0285485134,0.011628692,0.629049109,"null",
"sp|P09103|PDIA1_MOUSE","Protein disulfide-isomerase",12,12,136357.9605,271614.2093,71522.95056,730072.5499,533868.8184,471930.4149,70734.68562,32888.50642,0.0588005791,0.1171260756,0.0308422838,0.3148234877,0.2302160839,0.2035068696,0.0305023664,0.0141822539,"PLM-ERT-MEL","ERT"
"sp|P20029|GRP78_MOUSE","78 kDa glucose-regulated protein",12,12,336618.1706,453965.5314,152288.3814,1033598.44,821367.2765,636441.9924,144129.258,40338.60859,0.0930206255,0.1254482418,0.0420831723,0.2856232425,0.22697556,0.1758735486,0.0398284908,0.0111471184,"PLM-ERT-MEL-ECM",
"sp|P47738|ALDH2_MOUSE","Aldehyde dehydrogenase, mitochondrial",12,12,43757.34806,56254.89178,22610.54592,300923.5051,1333901.587,825787.4571,175403.5214,23386.28277,0.0157285955,0.0202208424,0.0081273694,0.108167069,0.4794714355,0.2968296172,0.0630488628,0.0084062083,"MIT",
"sp|P51432|PLCB3_MOUSE","1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3",12,12,60102.74993,68391.17481,8569.672158,39827.33427,21101.36982,16035.83035,5024.536404,9951.081823,0.262453126,0.2986465285,0.0374215364,0.1739156426,0.092144211,0.0700243135,0.0219408478,0.0434537943,"PLM-NUC",
"sp|P68040|GBLP_MOUSE","Guanine nucleotide-binding protein subunit beta-2-like 1",12,12,46726.20734,43956.79006,8275.053676,76639.82517,82869.04682,102839.5833,131866.9701,88906.63594,0.0802745298,0.0755167358,0.0142163484,0.1316654246,0.1423670815,0.1766759955,0.2265443661,0.1527395182,"NUC",
"sp|P80314|TCPB_MOUSE","T-complex protein 1 subunit beta",12,12,41019.04091,39921.31738,7911.570673,32907.8315,25047.70778,50758.32329,40446.4135,176547.0831,0.0989461389,0.09629821,0.0190842924,0.0793802779,0.0604200859,0.1224392379,0.097564847,0.4258669101,"COM",
"sp|Q8K2B3|DHSA_MOUSE","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",12,12,25570.74721,26521.12233,11266.43097,75211.58999,267803.2172,161961.1429,37062.19877,9173.014022,0.0416075785,0.0431539865,0.0183322336,0.1223809422,0.4357574418,0.2635359427,0.0603059556,0.014925919,"MIT",
"tr|A2AQR0|A2AQR0_MOUSE","Glycerol phosphate dehydrogenase 2, mitochondrial",12,12,15765.75055,18392.40151,6591.642078,55495.28785,184647.0017,123325.5247,26038.86751,5154.398997,0.036208904,0.042241484,0.0151389009,0.127454988,0.4240753099,0.2832394224,0.0598029792,0.0118380116,"MIT",
"sp|A2ARV4|LRP2_MOUSE","Low-density lipoprotein receptor-related protein 2",11,11,12790.98444,21873.29822,4198.687931,12684.90718,5588.495138,5604.78774,3030.499193,4068.623412,0.183146228,0.313190285,0.0601184264,0.181627373,0.0800182198,0.0802515036,0.0433918514,0.0582561127,"PLM-ERT-GOL-END-VES",
"sp|P09055|ITB1_MOUSE","Integrin beta-1",11,11,169681.8953,150870.1519,40504.15322,124851.5779,67698.0103,47558.52931,16787.21268,6326.118711,0.2718051743,0.2416715576,0.0648816328,0.1999936695,0.1084421497,0.0761816947,0.0268906194,0.0101335018,"MEL","PLM"
"sp|P16858|G3P_MOUSE","Glyceraldehyde-3-phosphate dehydrogenase",11,11,176852.1735,167488.6291,32068.65894,151286.0334,83583.8933,111568.1674,99640.37063,2094772.141,0.0606226971,0.0574129921,0.0109927323,0.0518589464,0.0286515057,0.0382441623,0.0341554638,0.7180615004,"NUC-CYT",
"sp|P20152|VIME_MOUSE","Vimentin",11,11,23857.6208,18506.43457,5160.123342,20269.86961,21701.37548,51656.61721,31169.41075,34242.57239,0.1154974633,0.0895917605,0.0249807456,0.0981287506,0.1050588338,0.2500755755,0.1508946724,0.1657721984,"CYT",
"sp|P25206|MCM3_MOUSE","DNA replication licensing factor MCM3",11,11,29062.84637,24450.59362,10304.57396,32331.50245,34663.23634,99084.60733,62866.50595,191951.3782,0.0599585978,0.0504432116,0.021259026,0.0667020541,0.0715125772,0.2044181785,0.1296978106,0.3960085442,"null",
"sp|P26231|CTNA1_MOUSE","Catenin alpha-1",11,11,344168.2144,245066.4946,49235.26662,217172.0629,142393.2455,79060.16882,35604.32251,33753.85827,0.3002024716,0.2137604936,0.0429457112,0.189429434,0.124203231,0.0689606335,0.031056051,0.0294419742,"PLM-SKE",
"sp|P26443|DHE3_MOUSE","Glutamate dehydrogenase 1, mitochondrial",11,11,47451.52564,52202.79644,18805.29458,218842.7771,858251.5903,566436.4385,127278.4777,8285.855554,0.02500667,0.0275105613,0.0099102777,0.1153288338,0.4522934517,0.2985086131,0.067074996,0.0043665963,"MIT",
"sp|P62908|RS3_MOUSE","40S ribosomal protein S3",11,11,51647.04496,53428.74968,19364.80407,98808.51993,103952.5088,105958.6638,293983.9221,120847.621,0.0609051206,0.0630062077,0.0228360738,0.1165206031,0.1225866861,0.1249524577,0.3466824917,0.1425103593,"RIB",
"sp|Q01853|TERA_MOUSE","Transitional endoplasmic reticulum ATPase",11,11,21532.14331,28233.15399,8265.419581,37151.23188,21712.04495,16564.51163,6465.595854,217397.3177,0.060259873,0.0790133266,0.0231316096,0.1039714663,0.0607633458,0.0463574551,0.0180946216,0.6084083019,"ERT-NUC-CYT",
"sp|Q02053|UBA1_MOUSE","Ubiquitin-like modifier-activating enzyme 1",11,11,6812.048078,8685.568656,1731.148864,7277.615883,4545.315485,4811.406572,2901.894477,106501.9546,0.0475479373,0.0606250674,0.0120833788,0.0507975897,0.0317261965,0.0335835061,0.020255156,0.7433811682,"null","CYT"
"sp|Q61316|HSP74_MOUSE","Heat shock 70 kDa protein 4",11,11,11071.73902,14543.71075,2849.704626,15200.20115,8595.492316,7082.339296,3744.294053,265836.6307,0.0336604664,0.0442160067,0.0086637146,0.0462118787,0.0261321442,0.0215318338,0.0113834587,0.8082004969,"null",
"sp|Q61656|DDX5_MOUSE","Probable ATP-dependent RNA helicase DDX5",11,11,41834.19204,52597.83044,10803.35956,93290.19237,80504.25817,117418.9199,140937.4844,143642.133,0.0614279726,0.0772329506,0.0158633033,0.1369842968,0.1182098452,0.1724141388,0.2069480372,0.2109194556,"NUC",
"sp|Q61739|ITA6_MOUSE","Isoform Alpha-6X1A of Integrin alpha-6",11,11,162173.4484,123919.4463,22084.84932,90158.29171,56099.50029,46316.82955,14143.66913,6268.219848,0.3111753099,0.2377742626,0.0423759863,0.1729940051,0.1076426478,0.0888718463,0.0271386017,0.0120273403,"ECM","PLM"
"sp|Q62351|TFR1_MOUSE","Transferrin receptor protein 1",11,11,43785.57712,74544.62124,31829.61607,71381.76737,31965.29448,17145.85853,6871.10676,3081.573093,0.1560396729,0.2656563892,0.1134319383,0.2543848537,0.1139154585,0.0611030922,0.0244867219,0.0109818732,"PLM-END-MEL","LYS"
"sp|Q64737|PUR2_MOUSE","Trifunctional purine biosynthetic protein adenosine-3 (multiple isoforms)",11,11,15820.65742,16490.65547,3512.2331,9939.374445,6147.439329,8067.890438,6017.187669,130907.5261,0.0803474823,0.0837501637,0.0178373806,0.0504785415,0.0312206541,0.040973941,0.0305591523,0.6648326844,"CYT",
"sp|Q68FD5|CLH_MOUSE","Clathrin heavy chain 1",11,11,28955.29206,22245.86835,7611.604045,34350.31885,28201.11762,16412.21633,10708.22305,39493.5359,0.154035392,0.1183428247,0.040491956,0.1827356747,0.1500233601,0.0873091582,0.056965246,0.2100963883,"PLM-MIT-VES-MEL",
"sp|Q6ZWN5|RS9_MOUSE","40S ribosomal protein S9",11,11,136866.0056,132530.187,23801.2583,200140.5614,194949.5931,185783.5614,267343.8269,255502.6857,0.0979771447,0.0948732978,0.0170384115,0.1432729819,0.139556966,0.1329953541,0.1913812323,0.1829046117,"null",
"sp|Q78PY7|SND1_MOUSE","Staphylococcal nuclease domain-containing protein 1",11,11,77060.48371,75110.81646,35155.0987,138710.6642,145528.9691,131501.7357,136337.3149,32031.14645,0.099892228,0.0973649067,0.0455709719,0.1798083353,0.188646791,0.1704635208,0.176731802,0.0415214443,"MIT-NUC-MEL-COM",
"sp|Q80X90|FLNB_MOUSE","Filamin-B",11,11,10173.33214,9572.92182,3108.806601,9529.440235,7460.78281,8571.437742,4728.763296,10459.31324,0.1599459864,0.1505062847,0.0488769197,0.1498226636,0.117299057,0.1347608675,0.0743460156,0.1644422054,"PLM-SKE",
"sp|Q8BMK4|CKAP4_MOUSE","Cytoskeleton-associated protein 4",11,11,73439.40996,93701.81682,41026.1562,228258.2667,246114.8928,188726.5031,47248.81111,17898.44745,0.0784261941,0.1000644868,0.0438119709,0.2437577744,0.2628269258,0.2015416705,0.0504571651,0.0191138125,"ERT-ERG",
"sp|Q8BMS1|ECHA_MOUSE","Trifunctional enzyme subunit alpha, mitochondrial",11,11,7467.01441,9999.824586,3201.162709,27335.69449,104106.3783,65755.93906,18314.59996,3444.618575,0.0311612193,0.0417311003,0.0133590385,0.1140768618,0.434454992,0.2744115821,0.0764301814,0.0143750245,"MIT",
"sp|Q8K3F7|TDH_MOUSE","L-threonine 3-dehydrogenase, mitochondrial",11,11,29583.81829,25828.55642,12834.51093,128618.0389,585577.1325,353037.3125,87002.86693,2034.494691,0.0241595868,0.0210928571,0.0104812867,0.1050357546,0.4782108056,0.2883074633,0.0710507784,0.0016614675,"MIT",
"sp|Q8VDN2|AT1A1_MOUSE","Sodium/potassium-transporting ATPase subunit alpha-1",11,11,1446569.959,911662.7267,196129.7848,751952.6771,524843.1445,417708.2749,111132.0355,22219.91412,0.3300999148,0.2080368022,0.0447558204,0.1715917803,0.1197665389,0.095318906,0.0253597659,0.0050704715,"PLM",
"sp|Q99KI0|ACON_MOUSE","Aconitate hydratase, mitochondrial",11,11,6788.344045,8026.504082,4214.091985,27815.49754,111951.0359,65840.43381,20707.68051,4583.895015,0.0271612548,0.032115332,0.0168612589,0.1112942731,0.4479340751,0.2634381503,0.0828547556,0.0183409002,"MIT",
"sp|Q9QXZ0|MACF1_MOUSE","Microtubule-actin cross-linking factor 1 (multiple isoforms)",11,11,37177.55448,28839.45303,9103.771397,39358.45104,42482.02962,56657.66157,29217.08782,37926.91617,0.1324161816,0.102718167,0.0324251195,0.1401839328,0.1513092571,0.2017989432,0.1040631978,0.135085201,"SKE",
"sp|P02468|LAMC1_MOUSE","Laminin subunit gamma-1",10,10,41418.86041,45692.35725,30453.9977,93161.92655,93924.83283,64859.0177,36594.58171,14068.29303,0.0985755271,0.1087463091,0.072479514,0.2217223246,0.2235380164,0.1543623313,0.0870939022,0.0334820752,"null",
"sp|P10852|4F2_MOUSE","4F2 cell-surface antigen heavy chain",10,10,734051.8877,568210.3085,76084.63781,439021.1584,270698.109,228146.6505,38546.56813,8816.472074,0.3105683728,0.2404028296,0.0321904794,0.1857444808,0.114529058,0.0965260565,0.0163085814,0.0037301415,"PLM-MEL",
"sp|P14148|RL7_MOUSE","60S ribosomal protein L7",10,10,552197.8739,580711.6735,151682.4635,955547.4288,895659.6172,889583.7006,1362776.806,706332.3453,0.0906060558,0.0952846738,0.024888451,0.1567886943,0.1469621472,0.1459651951,0.2236079441,0.1158968386,"RIB",
"sp|P35486|ODPA_MOUSE","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",10,10,3605.047373,4350.039187,1200.291674,13707.46096,53765.99501,34363.14515,8933.765196,1816.698099,0.0296120835,0.0357314926,0.0098592705,0.1125939373,0.4416372289,0.2822610127,0.0733825033,0.0149224712,"MIT",
"sp|P42932|TCPQ_MOUSE","T-complex protein 1 subunit theta",10,10,24924.45345,24742.21096,7990.962051,21839.58491,17612.96569,19827.84667,35686.26711,105149.2901,0.0966912643,0.0959842776,0.0309999265,0.084723907,0.0683272724,0.076919623,0.1384403591,0.40791337,"SKE",
"sp|P47911|RL6_MOUSE","60S ribosomal protein L6",10,10,130671.3021,147788.7189,50450.18422,296389.3544,290221.2873,334493.773,417807.8578,215044.2433,0.0694001868,0.0784913331,0.026794347,0.1574138791,0.1541379876,0.1776513278,0.2218998579,0.1142110808,"RIB",
"sp|P63017|HSP7C_MOUSE","Heat shock cognate 71 kDa protein",10,10,61415.65456,67743.51101,27463.90422,83387.45512,57917.9813,73239.50068,46550.18111,926527.1672,0.045687831,0.0503951981,0.0204307228,0.062032913,0.0430858705,0.0544837298,0.0346292296,0.6892545052,"MEL-CYT","CYT"
"sp|P80316|TCPE_MOUSE","T-complex protein 1 subunit epsilon",10,10,5431.969327,5160.756112,1625.245345,5649.057325,4542.283463,8242.175478,13156.86498,32845.33163,0.0708637742,0.0673256113,0.0212024428,0.0736958363,0.0592572104,0.1075248453,0.1716403485,0.4284899311,"SKE-COM",
"sp|P98203|ARVC_MOUSE","Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog (multiple isoforms)",10,10,83078.42018,44407.03386,9402.891781,29710.30809,19425.742,16351.1025,8698.220758,22387.94067,0.3558546625,0.1902112488,0.040275957,0.1272599026,0.0832074184,0.0700376349,0.0372575984,0.0958955774,"PLM-NUC",
"sp|Q03145|EPHA2_MOUSE","Ephrin type-A receptor 2",10,10,61584.01483,73683.94317,17868.29177,66342.23807,33624.38368,21634.75423,8691.995289,6912.506137,0.2121084371,0.2537831623,0.0615421949,0.2284967694,0.1158095245,0.0745146922,0.0299370793,0.0238081404,"PLM",
"sp|Q8VEK3|HNRPU_MOUSE","Heterogeneous nuclear ribonucleoprotein U",10,10,67105.4263,76689.7535,16588.83478,117927.1644,100265.0818,213680.5023,189196.1341,255159.1907,0.0647353307,0.0739811492,0.016002934,0.1137620965,0.0967238208,0.2061335236,0.1825139185,0.2461472268,"PLM-NUC",
"sp|Q91YQ5|RPN1_MOUSE","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1",10,10,76888.37732,116586.2745,38173.77216,349813.5935,300660.1031,275438.1819,57062.0817,12083.08486,0.0626787597,0.0950401522,0.0311189386,0.2851651047,0.245095592,0.2245348935,0.04651653,0.0098500293,"ERT-MEL",
"sp|Q91ZX7|LRP1_MOUSE","Prolow-density lipoprotein receptor-related protein 1",10,10,6837.894888,15076.16656,5825.500173,15959.68883,5702.435372,3791.270773,1247.59861,1126.916142,0.1230557145,0.2713128058,0.1048365173,0.2872127963,0.1026218259,0.06822824,0.0224519594,0.0202801408,"PLM-NUC",
"sp|Q9JKR6|HYOU1_MOUSE","Hypoxia up-regulated protein 1",10,10,13866.15461,16672.81253,6908.378994,23990.67667,23296.57039,18538.99104,8589.997191,13631.21884,0.1104918656,0.1328566004,0.0550491254,0.1911686908,0.1856377343,0.1477271648,0.0684490287,0.1086197899,"ERT",
"sp|O70133|DHX9_MOUSE","ATP-dependent RNA helicase A (multiple isoforms)",9,9,15962.41775,16875.10145,5912.004474,22792.46819,27503.57996,44782.53316,84563.08027,86695.17711,0.0523209809,0.0553125394,0.0193781342,0.0747082499,0.0901501455,0.1467864142,0.2771775166,0.2841660192,"NUC","RIB"
"sp|P09405|NUCL_MOUSE","Nucleolin",9,9,20989.38954,27311.60119,3927.11343,40669.87856,41163.75744,65815.17064,29768.26535,566604.0567,0.0263603262,0.0343003171,0.0049320153,0.0510768198,0.0516970764,0.0826564949,0.0373856126,0.7115913376,"NUC",
"sp|P12970|RL7A_MOUSE","60S ribosomal protein L7a",9,9,104247.7053,117765.8623,25046.34635,202143.3239,180665.1157,168806.5281,211489.1752,231864.6337,0.0839334116,0.0948173446,0.0201656745,0.1627525398,0.145459696,0.1359119394,0.170277206,0.1866821882,"RIB",
"sp|P14206|RSSA_MOUSE","40S ribosomal protein SA",9,9,422927.0061,362884.4262,103542.9575,539863.8089,515559.269,541035.7367,1330548.248,902450.9478,0.08962573,0.0769016429,0.0219425882,0.1144067115,0.1092561486,0.1146550638,0.2819667609,0.191245354,"PLM-NUC-RIB",
"sp|P14733|LMNB1_MOUSE","Lamin-B1",9,9,29589.23783,37386.31758,16704.35024,50484.54927,74210.89717,520585.2431,175344.1319,14094.76463,0.0322182646,0.0407081209,0.0181885447,0.0549701407,0.080804593,0.5668396464,0.1909235942,0.0153470954,"NUC","NUC"
"sp|P17182|ENOA_MOUSE","Alpha-enolase",9,9,137576.2724,135863.7908,29365.11515,76610.46499,43454.59283,67181.39107,62580.24024,1505729.492,0.0668377648,0.0660058013,0.0142662585,0.0372191523,0.0211112556,0.0326382881,0.0304029416,0.7315185378,"CYT","CYT"
